Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
1280213,35,2,45,39,1,4,8,140,164,49,78,9,53,12,40,8,3,8,18,7,13,20,13,4,714,783,852,318,612,328,84,456,536,428,812,645,402,158,144,563,356,696,578,1290,1804,
1280229,35,4,42,35,2,4,3,137,160,53,62,8,46,17,37,8,3,5,17,7,1,20,5,4,607,513,588,216,404,155,35,294,306,233,472,462,222,107,119,408,165,349,293,815,883,
1280245,32,3,40,30,1,3,3,120,147,48,44,9,49,19,40,8,2,5,13,7,1,12,5,4,262,251,315,136,270,115,22,193,132,133,299,320,110,22,53,260,10,50,58,397,297,
1280261,17,1,28,29,1,3,7,119,118,37,14,10,54,35,53,8,2,4,20,8,1,13,8,4,182,118,140,67,147,57,11,114,4,99,146,107,46,4,40,142,1,2,7,110,0,
1280277,23,0,27,23,1,3,34,180,172,53,30,10,69,78,41,8,3,9,24,6,1,13,5,4,116,27,77,26,53,20,13,41,4,109,34,15,16,4,32,4,0,2,4,4,0,
1280293,29,0,33,31,2,3,35,194,189,61,39,11,65,82,38,8,3,12,13,7,1,14,4,4,100,17,38,23,53,19,12,33,3,80,43,24,8,3,20,4,1,3,5,3,1,
1280309,19,0,32,29,0,4,29,165,161,53,35,9,43,66,32,8,2,15,6,8,0,15,4,4,82,0,29,22,52,26,14,29,4,65,37,25,4,4,16,4,1,3,6,3,0,
1280325,17,0,30,28,0,3,23,154,140,47,31,10,41,66,28,7,3,10,9,8,1,13,4,4,75,1,22,25,52,19,13,28,3,62,40,35,4,4,15,4,1,3,6,3,0,
1280341,18,0,30,29,0,3,25,158,145,51,30,10,40,66,26,8,3,10,9,8,1,13,4,4,68,1,11,24,51,17,13,27,3,62,34,34,4,3,8,6,1,2,5,4,0,
1280357,24,0,32,34,0,4,30,167,158,59,35,11,35,67,29,8,3,9,9,8,1,12,4,4,54,1,14,27,42,14,12,25,3,64,24,26,4,4,4,9,0,2,3,5,0,
1280373,29,0,33,32,1,4,33,179,184,66,43,11,29,68,27,8,3,9,10,8,1,12,4,4,40,1,14,24,29,18,12,20,3,62,20,19,4,4,4,12,0,2,3,5,1,
1280389,28,0,33,30,0,3,37,188,193,67,43,10,25,67,24,8,3,9,10,6,2,11,4,4,37,0,8,23,30,18,11,20,3,53,22,17,4,4,4,15,0,2,2,5,0,
1280405,29,0,33,31,1,3,39,190,194,71,45,10,20,68,25,8,3,9,10,7,2,11,4,4,28,1,6,24,32,19,11,20,3,56,21,16,4,3,4,19,0,3,3,5,0,
1280421,29,0,33,35,0,4,37,194,193,72,46,11,20,70,26,8,3,10,11,7,1,11,4,4,29,1,7,24,30,17,12,20,2,55,21,15,4,3,3,20,1,2,3,6,0,
1280437,30,0,34,35,0,4,36,194,188,71,45,10,19,69,23,8,3,10,11,7,1,10,4,4,33,1,6,25,34,20,12,19,3,55,19,12,4,3,4,22,1,2,3,6,0,
1280453,30,0,35,35,0,4,36,196,187,69,46,10,18,70,22,8,3,9,11,7,2,10,4,4,37,1,12,23,33,20,13,18,3,58,14,11,4,4,4,18,0,2,3,4,0,
1280469,29,0,34,37,1,4,35,196,181,65,44,9,18,70,20,8,2,10,9,7,1,10,4,4,49,1,12,22,29,20,12,23,4,55,5,11,6,3,4,22,0,2,9,5,0,
1280485,25,0,33,33,0,3,34,196,172,62,41,11,20,73,21,8,3,9,11,7,1,8,4,4,67,1,20,25,32,23,14,20,3,57,5,12,5,3,4,28,0,3,3,6,1,
1280501,22,0,32,29,0,4,29,195,162,58,37,11,20,76,21,8,4,9,11,7,1,6,4,4,74,8,30,29,31,24,13,24,4,54,4,14,6,4,5,32,0,2,2,6,0,
1280517,20,0,32,29,0,4,26,193,158,55,37,11,22,82,20,8,3,9,12,7,2,8,4,4,80,14,37,30,36,20,13,24,3,53,17,18,6,4,4,40,1,2,2,6,0,
1280533,19,0,28,27,0,4,24,192,154,53,34,11,21,87,22,8,3,10,12,6,1,5,4,4,82,16,38,30,32,21,11,19,3,52,19,16,4,3,7,43,0,1,3,5,4,
1280549,18,0,23,29,1,4,20,194,144,51,26,12,19,89,21,8,3,9,11,8,2,7,4,4,79,14,40,29,33,22,12,21,3,54,12,17,5,4,7,46,1,2,2,4,0,
1280565,15,0,22,29,0,4,13,192,124,40,26,12,16,94,20,8,3,9,11,7,1,7,4,4,71,8,32,29,35,17,12,19,3,56,5,19,5,4,4,51,1,2,2,5,0,
1280581,15,0,21,30,0,4,12,191,124,41,27,12,14,88,20,8,3,9,11,7,2,8,5,4,77,7,32,32,37,16,13,18,4,45,25,12,5,3,4,52,1,2,3,5,0,
1280597,14,0,22,28,0,4,22,190,146,51,29,10,18,96,20,8,3,9,9,7,1,6,5,4,87,17,36,31,36,21,11,22,3,49,29,15,5,4,4,52,0,2,3,4,9,
1280613,16,0,22,29,0,4,16,189,145,49,26,10,22,97,20,8,2,8,9,8,1,8,4,4,120,33,49,32,36,12,14,22,3,45,33,16,6,4,4,53,1,2,3,3,0,
1280629,16,0,25,25,0,4,23,187,159,53,29,11,26,103,20,8,2,9,8,8,1,9,4,4,152,61,53,37,39,16,10,26,3,41,32,15,7,4,4,47,0,2,2,5,0,
1280645,29,0,31,25,1,13,38,191,215,76,39,11,30,101,15,8,2,10,10,8,0,8,4,4,159,66,58,36,42,22,12,23,3,47,31,11,6,4,4,46,1,2,2,5,0,
1280661,275,135,236,58,148,103,240,222,394,169,183,9,41,75,18,8,3,7,16,6,1,4,4,4,153,46,37,17,41,29,13,24,3,51,21,4,8,3,4,36,0,2,3,4,0,
1280677,1188,1174,1040,502,642,822,986,347,612,505,670,12,103,90,57,8,3,8,20,8,1,6,4,5,102,30,11,17,33,30,16,12,3,37,19,3,6,3,4,41,0,3,2,4,0,
1280693,1713,1674,1471,963,1164,1365,1441,629,836,778,988,22,161,139,96,8,4,8,36,7,1,6,4,4,136,32,7,11,25,19,14,26,4,41,22,0,6,3,4,39,0,2,3,4,0,
1280709,2032,1883,1749,1405,1676,1789,1866,1074,1291,1144,1312,86,378,325,161,13,4,4,45,8,1,3,5,4,199,56,37,12,17,10,26,46,5,40,19,0,9,3,4,40,0,3,2,4,0,
1280725,2059,1833,1732,1642,1922,1991,2116,1363,1638,1513,1511,337,671,611,318,52,12,24,154,42,29,10,11,4,311,158,69,35,5,0,74,92,9,33,20,0,9,4,3,38,0,2,2,4,0,
1280741,1945,1701,1653,1796,2023,2103,2251,1522,1762,1708,1709,497,829,798,473,164,115,49,244,165,216,83,27,23,433,476,287,37,34,6,198,303,55,59,15,11,28,9,4,56,0,51,12,4,1,
1280757,1826,1604,1555,1758,1981,2075,2211,1530,1761,1720,1749,528,868,841,526,248,188,124,276,313,382,186,132,70,496,719,579,59,104,0,290,454,165,116,72,118,54,12,5,181,0,80,19,10,1,
1280773,1726,1521,1451,1725,1918,2006,2140,1539,1730,1629,1704,588,932,945,567,318,265,248,319,460,534,341,128,169,580,914,762,149,341,18,413,575,302,235,345,334,94,29,23,248,10,106,20,49,2,
1280789,1726,1518,1441,1732,1925,2028,2150,1550,1767,1629,1711,649,978,991,626,366,347,335,331,556,667,430,177,169,634,1006,897,277,547,66,481,708,465,356,559,468,120,45,60,310,29,116,25,89,24,
1280805,1758,1543,1466,1765,1960,2059,2184,1576,1809,1683,1774,691,1010,1004,671,425,388,381,340,635,756,518,233,146,675,1079,987,372,635,117,547,778,572,440,677,541,145,60,102,349,31,132,31,112,45,
1280821,1763,1546,1466,1766,1969,2064,2190,1576,1833,1714,1803,731,1045,1032,700,472,453,412,367,709,835,614,277,149,713,1148,1062,502,720,203,596,852,671,534,812,601,161,89,162,393,53,154,48,144,78,
1280837,1709,1502,1417,1716,1930,2015,2139,1547,1820,1702,1795,732,1055,1042,719,494,464,414,377,749,873,674,304,148,742,1199,1141,627,829,357,633,916,769,625,984,688,193,103,203,427,69,186,56,170,122,
1280853,1630,1434,1343,1645,1864,1959,2066,1508,1789,1668,1752,714,1051,1036,717,505,471,415,378,762,905,706,326,149,767,1228,1199,742,890,466,680,961,850,713,1102,733,210,123,249,442,78,215,74,183,157,
1280869,1546,1357,1271,1560,1790,1897,1987,1453,1737,1622,1705,684,1034,1023,706,503,467,405,370,763,920,712,327,145,774,1236,1214,782,927,523,692,989,892,754,1162,761,219,129,268,460,88,238,75,199,194,
1280885,1439,1269,1155,1443,1702,1820,1886,1372,1662,1551,1627,634,1003,994,678,487,453,381,356,740,899,692,298,120,770,1227,1204,796,930,545,700,1001,898,771,1191,790,219,132,277,466,99,247,87,212,207,
1280901,1301,1177,1028,1305,1576,1708,1759,1297,1588,1436,1525,594,961,959,647,464,419,346,338,714,874,658,271,103,763,1211,1188,795,926,548,700,1010,907,783,1208,804,224,140,288,473,103,252,89,218,213,
1280917,1153,1066,909,1148,1437,1603,1616,1223,1501,1296,1429,564,926,923,622,456,404,337,326,707,862,641,259,94,762,1202,1192,807,939,567,709,1032,932,818,1239,820,229,149,299,480,104,265,94,229,222,
1280933,967,949,808,968,1253,1446,1446,1139,1384,1137,1295,534,883,886,596,451,395,332,320,698,862,631,256,95,760,1194,1205,837,961,600,718,1056,972,869,1286,849,241,158,323,504,113,284,111,243,240,
1280949,815,825,716,814,1023,1227,1272,1055,1239,1046,1193,507,855,851,566,447,390,325,313,700,876,638,248,96,762,1192,1235,884,1000,647,733,1095,1019,925,1349,874,254,186,348,530,128,316,124,262,281,
1280965,694,717,642,713,800,1025,1163,986,1116,936,1123,483,835,818,544,449,393,326,314,707,893,650,248,95,767,1198,1266,939,1041,699,758,1125,1078,990,1409,904,270,211,369,555,154,350,136,279,328,
1280981,616,628,588,631,690,918,1054,918,1050,841,1069,459,816,791,522,447,393,311,306,717,907,659,247,99,779,1218,1296,1003,1081,755,779,1169,1138,1053,1474,942,284,233,404,585,173,384,161,296,372,
1280997,517,526,522,528,554,795,923,846,963,759,1004,433,792,758,501,446,396,303,298,740,941,671,250,103,795,1257,1339,1062,1135,820,813,1227,1218,1115,1556,984,313,264,446,636,217,418,182,318,429,
1281013,436,443,453,427,453,676,828,766,878,688,949,402,772,729,475,451,402,298,291,765,974,693,265,117,821,1310,1401,1149,1203,901,851,1293,1304,1201,1645,1048,347,312,499,694,295,451,204,339,472,
1281029,392,359,397,340,390,572,755,708,825,653,911,386,763,706,461,464,420,307,293,812,1016,745,297,140,858,1372,1475,1233,1293,991,885,1357,1401,1283,1739,1133,398,392,574,787,360,477,223,352,555,
1281045,350,284,349,281,327,491,704,639,777,608,883,373,739,692,447,473,444,313,295,870,1072,790,348,164,891,1446,1533,1312,1367,1092,944,1428,1484,1397,1838,1244,443,460,623,882,499,504,244,371,622,
1281061,277,221,321,209,270,414,607,559,704,556,834,344,713,658,417,480,460,311,291,921,1118,837,387,196,925,1520,1592,1392,1448,1176,1001,1498,1567,1496,1923,1317,497,547,704,984,650,530,274,393,673,
1281077,228,167,274,157,207,299,519,470,613,489,764,318,690,618,377,489,481,302,283,971,1150,888,438,225,961,1583,1662,1463,1529,1243,1048,1574,1674,1600,2021,1395,541,622,796,1073,802,560,290,425,736,
1281093,169,80,209,99,149,178,409,365,500,410,648,281,659,569,315,496,478,272,262,1007,1186,932,456,255,993,1662,1724,1542,1585,1292,1113,1656,1780,1719,2124,1475,595,708,895,1192,950,587,318,464,797,
1281109,110,38,161,47,114,106,321,233,399,319,553,244,612,505,247,482,447,236,240,1031,1214,936,457,260,1018,1737,1795,1606,1633,1313,1216,1748,1895,1839,2218,1604,631,815,1000,1325,1126,611,343,497,864,
1281125,69,8,109,26,80,61,232,163,342,240,459,207,557,456,209,436,421,204,213,1065,1213,902,453,265,1047,1807,1868,1642,1663,1293,1318,1837,1998,1952,2312,1633,722,958,1131,1462,1276,628,363,528,929,
1281141,49,4,57,16,66,33,186,86,257,152,314,179,500,400,163,369,367,169,193,1061,1185,869,428,262,1082,1871,1931,1658,1724,1278,1419,1931,2093,2074,2402,1731,811,1103,1291,1621,1445,667,393,592,1044,
