Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
1323733,17,3,27,29,2,1,3,120,62,23,7,24,117,95,56,16,3,3,7,476,449,59,40,25,1803,1769,1563,1011,1051,512,1567,2226,2391,2387,2619,1964,1438,1681,1850,2230,2276,1139,1029,1644,2260,
1323749,16,2,27,27,2,4,4,116,74,26,13,15,109,67,48,9,4,23,24,365,294,59,45,16,1654,1654,1464,854,907,422,1405,2182,2358,2332,2574,1983,1445,1678,1849,2213,2325,1206,1120,1786,2397,
1323765,23,5,30,29,2,4,8,110,87,29,59,12,97,46,42,9,4,29,29,257,210,29,44,13,1466,1552,1376,712,800,374,1232,2060,2260,2217,2452,1819,1420,1606,1811,2184,2260,1255,1182,1910,2515,
1323781,28,2,30,31,1,4,7,105,99,38,89,11,83,55,31,9,3,29,25,180,148,24,35,35,1292,1455,1272,601,696,360,1040,1866,2063,2031,2285,1600,1334,1454,1686,2104,2119,1273,1202,1998,2589,
1323797,33,3,33,38,1,4,5,111,116,51,102,9,67,41,29,9,3,21,13,132,109,24,20,55,1155,1356,1202,563,685,337,815,1583,1759,1745,2016,1309,1119,1156,1500,1936,1818,1241,1203,2047,2632,
1323813,33,3,38,36,2,4,8,112,129,51,99,8,57,34,29,8,4,22,22,82,78,22,17,41,1094,1263,1203,557,721,328,604,1302,1424,1418,1628,1102,895,816,1140,1579,1347,1119,1160,2035,2541,
1323829,35,3,41,37,2,4,8,123,139,56,94,10,53,34,32,8,4,21,24,53,64,20,25,8,1042,1161,1170,539,693,304,373,994,1126,1015,1176,856,700,428,649,982,662,1057,1062,1821,2173,
1323845,36,2,41,32,1,4,8,128,146,55,77,8,53,31,30,8,4,12,20,30,49,22,13,5,905,979,1048,477,625,264,206,681,793,490,719,601,498,182,215,628,369,840,741,1329,1370,
1323861,35,3,41,28,1,3,7,125,145,51,67,8,49,26,29,8,3,9,20,13,13,19,12,4,769,844,802,305,421,163,90,470,498,279,449,435,298,107,152,510,150,460,410,920,540,
1323877,33,2,39,29,1,3,6,126,135,56,44,10,51,29,29,8,3,8,16,8,2,16,5,4,596,509,458,169,295,119,33,339,244,136,272,219,131,45,66,339,7,77,132,448,377,
1323893,18,4,29,27,3,3,6,125,105,34,16,12,61,53,37,8,3,10,20,8,1,17,5,4,232,212,176,98,168,49,20,228,21,100,122,67,70,4,49,176,1,6,18,151,56,
1323909,16,0,22,23,0,3,22,165,143,45,21,11,85,91,29,7,3,12,18,7,1,14,4,4,162,95,78,33,30,25,12,75,21,103,37,19,53,4,33,12,1,2,4,20,0,
1323925,19,0,29,24,0,4,42,178,178,62,37,13,78,99,32,7,2,15,16,7,1,14,4,4,142,39,57,29,34,19,12,48,4,83,29,23,17,3,17,4,0,4,4,3,1,
1323941,17,0,29,29,0,4,33,162,155,53,33,11,55,81,24,7,3,12,12,7,1,12,4,4,126,24,33,28,33,15,11,32,3,58,22,24,8,3,19,4,0,2,4,3,1,
1323957,16,0,24,26,0,5,24,146,133,46,27,12,45,75,20,7,3,10,11,9,0,13,4,4,98,3,19,27,45,16,16,32,3,51,23,30,8,3,12,4,0,2,6,1,0,
1323973,19,0,24,29,0,4,25,151,133,49,27,10,41,72,19,8,3,10,10,8,1,13,4,4,85,1,12,27,52,24,15,29,3,52,22,29,4,4,15,5,0,2,7,3,0,
1323989,18,0,29,30,0,4,27,158,149,53,32,10,34,71,18,7,2,10,10,7,1,12,4,4,76,1,12,26,48,20,15,29,3,51,17,25,5,4,4,7,0,3,3,4,0,
1324005,24,0,30,25,0,7,36,169,165,64,37,12,25,68,20,7,2,9,10,7,1,9,4,4,68,2,16,25,44,14,14,25,3,53,22,27,4,3,4,10,0,3,3,5,1,
1324021,28,2,30,27,1,9,37,172,179,69,41,11,23,67,22,8,3,9,11,7,1,10,4,4,52,1,16,16,44,12,13,21,3,51,25,25,4,4,4,10,0,2,3,5,0,
1324037,27,0,32,27,0,10,39,174,178,70,44,10,19,67,19,8,3,9,12,8,1,10,4,4,39,1,10,14,45,15,12,12,3,49,29,22,4,3,4,11,0,3,3,5,0,
1324053,27,0,33,29,1,9,40,182,171,70,45,10,16,69,19,5,3,9,12,7,1,11,4,4,32,1,9,11,49,16,11,3,3,53,24,16,4,3,4,12,1,2,2,6,0,
1324069,28,0,33,31,0,9,40,179,169,70,43,11,14,77,18,8,3,9,11,7,0,11,4,4,37,1,8,17,46,17,11,3,3,51,21,12,4,3,4,16,0,2,3,5,0,
1324085,28,0,33,30,1,10,41,182,168,72,44,11,15,82,20,8,2,9,12,7,0,11,4,4,34,0,5,19,41,16,12,2,2,51,19,11,4,3,4,25,0,2,3,6,0,
1324101,29,0,33,32,0,9,41,182,167,70,41,10,8,83,19,8,2,9,10,10,1,9,4,4,37,1,4,20,41,19,12,2,3,46,14,8,4,3,4,31,0,2,2,5,0,
1324117,25,0,32,33,0,4,35,180,152,67,34,11,12,84,19,8,2,8,13,7,1,6,4,7,65,0,8,20,37,23,14,5,3,45,13,8,4,3,4,36,0,1,3,5,0,
1324133,20,0,31,28,0,4,29,178,142,56,28,10,12,87,16,8,2,8,11,7,1,5,6,4,77,2,23,20,38,22,13,20,3,41,12,13,6,3,4,43,6,4,4,86,16,
1324165,19,0,21,29,3,4,24,181,127,47,25,11,17,90,14,8,2,8,12,7,1,5,4,4,86,19,38,25,32,17,13,22,4,45,19,17,4,4,4,45,0,1,3,5,0,
1324181,20,0,20,27,1,3,14,182,121,37,23,12,19,91,13,8,2,8,12,7,1,6,4,4,83,17,33,25,23,12,14,20,3,50,12,18,5,4,4,50,1,6,3,5,0,
1324197,16,0,20,29,0,4,12,183,115,32,22,11,19,93,15,8,3,8,12,7,1,2,4,4,83,15,32,25,23,11,12,22,4,49,14,19,6,3,4,54,0,2,2,5,0,
1324213,16,0,20,29,0,4,12,184,116,32,20,11,20,94,13,8,2,8,12,8,1,4,4,4,82,16,29,24,24,11,12,16,3,47,24,16,6,4,4,58,0,1,3,4,0,
1324229,16,0,19,27,0,4,20,186,128,39,21,10,18,95,14,8,2,7,12,7,1,5,6,4,110,20,30,25,29,12,14,25,3,47,25,16,4,4,4,58,0,3,2,4,0,
1324245,16,0,21,28,0,4,20,182,130,41,20,10,20,96,12,8,3,5,13,7,1,6,4,4,116,28,36,27,33,10,13,26,3,45,32,16,6,4,4,58,0,1,4,4,0,
1324261,16,0,20,27,0,3,19,178,136,40,18,11,24,100,13,7,2,8,12,10,1,6,4,4,135,43,45,29,34,4,12,27,3,45,33,10,6,3,4,45,0,2,1,4,0,
1324277,19,0,26,24,1,3,23,177,166,58,24,11,28,103,13,7,3,8,11,6,0,6,4,4,149,62,54,33,41,16,12,27,3,43,24,9,2,4,4,48,0,2,2,4,0,
1324293,42,0,39,27,38,19,52,183,231,78,42,11,30,92,4,8,3,8,9,7,1,6,4,4,141,52,45,32,35,19,14,25,3,37,21,4,7,4,4,42,0,2,3,4,0,
1324309,672,566,610,197,366,389,611,269,520,329,354,17,86,92,26,10,3,7,13,7,2,8,4,4,147,44,22,20,35,24,13,18,4,38,16,3,6,3,4,40,0,2,2,5,0,
1324325,1582,1546,1337,804,963,1177,1287,511,787,700,859,26,150,110,73,8,3,8,19,8,1,9,1,4,121,34,8,11,27,24,15,12,3,34,19,0,6,0,4,43,0,2,3,4,0,
1324341,2014,1908,1766,1276,1488,1645,1711,904,1111,973,1191,49,278,189,122,10,4,8,43,7,3,6,6,4,173,55,25,15,17,15,16,27,4,33,16,0,8,3,4,40,0,2,2,5,0,
1324357,2215,1998,1944,1670,1935,2028,2117,1300,1544,1392,1417,200,523,502,201,21,4,4,43,20,3,3,4,3,389,73,65,33,12,0,39,56,6,34,19,1,10,3,3,37,1,2,2,5,0,
1324373,2206,1905,1911,1868,2119,2171,2338,1553,1811,1697,1653,491,815,725,371,95,36,29,165,93,54,11,10,4,361,238,83,32,4,0,124,155,15,36,14,0,8,3,3,37,0,2,5,5,0,
1324389,2089,1766,1802,1944,2169,2233,2408,1645,1898,1837,1810,624,958,874,511,230,145,67,245,237,288,101,30,9,464,555,381,47,46,0,235,362,92,61,7,14,30,10,4,67,1,40,11,4,0,
