Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
1710933,49,20,17,27,4,3,4,149,81,35,26,46,186,149,99,33,80,7,51,395,615,244,61,53,1930,1808,1686,1107,1256,546,1544,2244,2367,2375,2768,2027,1090,1608,1918,2342,2341,1048,832,1231,2155,
1710949,44,20,17,27,3,3,4,142,91,31,20,34,160,99,90,18,25,4,42,295,447,236,37,38,1825,1736,1631,930,1042,387,1460,2238,2364,2379,2795,2015,1179,1720,1989,2422,2520,1183,941,1416,2450,
1710965,44,20,17,29,3,4,3,130,99,37,20,17,139,93,69,11,6,6,26,176,277,275,20,32,1643,1620,1488,726,750,298,1252,2163,2288,2309,2762,1998,1162,1718,2015,2466,2624,1250,1016,1613,2655,
1710981,42,19,17,33,3,4,4,128,105,41,30,12,105,62,57,8,3,18,17,119,214,300,34,56,1481,1463,1314,569,587,229,1046,1970,2110,2130,2588,2031,1090,1612,1974,2443,2649,1301,1050,1803,2784,
1710997,52,20,18,34,3,3,3,122,114,37,25,13,95,42,49,9,4,9,25,77,144,206,33,73,1247,1315,1192,505,480,210,833,1658,1831,1873,2338,1954,979,1439,1818,2341,2578,1315,1090,1864,2833,
1711013,49,20,19,34,3,4,3,124,119,43,47,16,95,38,27,8,8,7,20,33,135,145,30,81,1099,1216,1148,508,498,213,572,1294,1481,1566,2019,1660,867,1077,1549,2098,2268,1204,1069,1892,2823,
1711029,56,20,20,33,3,3,4,135,126,49,61,17,97,39,31,9,12,6,25,20,132,98,25,82,960,1079,1061,526,598,228,298,876,930,1236,1630,1199,713,617,978,1479,1634,1048,885,1757,2676,
1711045,59,22,20,31,3,3,6,140,130,52,53,17,99,49,29,9,16,8,32,10,129,68,20,88,812,925,955,479,625,180,99,570,601,714,1198,733,526,312,341,632,552,847,729,1224,2148,
1711061,59,24,23,29,3,3,3,134,128,54,37,20,90,47,14,8,18,8,22,6,121,30,15,76,635,675,708,262,458,38,27,374,423,364,576,497,244,145,144,421,208,436,362,861,871,
1711077,49,25,21,25,3,3,3,131,101,45,24,19,88,54,23,8,24,10,25,6,61,3,4,18,430,332,374,70,191,0,13,165,78,172,244,300,99,30,58,297,1,28,29,348,199,
1711093,19,5,16,29,3,4,9,135,78,22,11,21,99,85,41,9,5,7,33,6,1,17,4,4,153,152,167,20,100,0,10,57,16,103,67,45,58,4,23,97,0,0,4,72,0,
1711109,20,0,17,29,3,3,22,157,105,49,24,19,102,122,29,8,6,9,26,6,3,41,4,4,116,95,123,20,71,0,11,58,16,100,36,17,17,3,33,4,0,3,5,30,0,
1711125,25,1,18,29,3,3,21,155,102,51,24,12,81,117,27,7,6,8,26,7,3,30,4,4,95,62,96,10,58,1,12,41,14,79,30,20,16,3,20,17,0,3,4,23,0,
1711141,30,0,19,33,4,3,19,146,95,41,20,10,52,107,23,5,7,8,25,6,2,22,4,4,86,33,69,26,62,0,11,33,4,70,28,30,9,3,18,4,0,2,6,3,0,
1711157,32,0,19,29,4,4,20,145,109,54,24,9,37,101,20,8,7,8,21,6,3,12,4,4,79,27,62,36,58,0,10,29,4,70,30,40,6,2,14,43,0,2,4,4,0,
1711173,37,1,18,30,4,4,24,151,119,60,26,11,34,99,22,8,6,7,20,6,3,11,4,4,77,20,41,38,59,0,14,28,3,68,29,32,6,3,8,33,1,2,3,5,0,
1711189,36,1,16,31,4,3,27,155,125,62,28,12,29,103,22,8,4,6,22,7,3,11,7,4,67,7,31,37,54,0,12,25,3,66,26,20,7,2,4,26,0,2,2,5,0,
1711205,37,1,16,29,3,4,30,161,139,67,27,10,26,103,22,8,4,4,22,7,1,11,5,4,60,1,27,35,48,0,12,20,3,66,19,21,5,3,4,29,0,1,2,5,0,
1711221,41,1,19,32,7,4,29,165,140,69,29,10,26,100,24,8,4,4,20,6,1,8,5,4,45,1,28,33,45,8,10,16,4,63,22,16,5,2,4,37,2,2,2,5,0,
1711237,41,0,19,33,7,3,30,165,138,70,29,10,26,99,24,8,3,4,21,7,1,8,6,4,40,1,23,33,42,0,11,20,4,62,20,13,5,3,4,49,0,2,2,5,0,
1711253,43,1,19,33,8,8,32,164,140,70,27,11,24,95,22,8,3,4,21,7,1,8,7,4,37,1,22,29,38,0,12,12,4,60,20,16,4,2,4,62,3,2,2,5,0,
1711269,39,0,17,33,8,11,30,165,143,71,25,11,40,89,20,8,3,4,19,6,1,2,5,4,36,1,16,37,33,0,12,8,3,64,6,17,4,5,6,74,0,3,3,16,1,
1711285,41,0,17,34,8,9,30,166,150,73,25,12,47,87,20,9,3,4,20,6,2,2,5,1,33,6,22,32,29,0,10,10,3,61,6,12,4,4,6,97,0,1,2,47,35,
1711301,38,0,18,36,7,9,29,168,149,70,27,10,55,90,19,8,3,4,20,13,1,4,5,4,30,4,25,33,26,0,9,10,4,59,19,13,5,3,4,135,6,3,3,57,64,
1711317,38,0,19,33,4,3,25,169,142,66,25,11,59,92,17,8,3,4,20,7,1,12,5,4,31,3,27,35,28,0,10,16,3,54,16,12,5,4,4,171,11,1,3,62,74,
1711333,39,0,20,33,5,4,25,169,141,64,26,11,66,99,20,8,3,5,20,7,1,14,5,4,33,4,27,37,27,0,9,18,3,53,23,12,6,4,4,193,18,3,3,62,81,
1711349,38,3,20,33,1,4,25,171,131,59,25,10,69,102,20,8,3,5,20,7,1,14,5,4,29,4,27,35,28,0,10,20,3,60,31,14,5,3,4,209,26,1,2,62,82,
1711365,35,1,19,33,1,3,20,165,120,49,21,10,70,101,18,6,2,5,20,7,2,17,5,4,26,3,27,36,28,0,9,20,3,60,36,18,5,3,4,215,41,1,3,56,71,
1711381,31,0,19,33,2,3,14,168,103,42,19,10,71,99,16,8,3,1,20,7,0,12,6,4,24,3,29,38,26,0,8,17,3,52,35,18,5,4,4,219,53,3,4,41,49,
1711397,28,1,18,33,1,1,12,169,103,40,18,12,71,99,15,8,3,5,20,7,1,12,6,4,33,1,29,39,23,0,11,20,3,50,34,19,4,5,4,228,53,2,3,32,45,
1711413,25,1,19,32,1,3,11,165,99,41,15,12,74,100,13,8,2,6,20,7,2,10,5,4,48,7,31,41,24,0,12,21,3,49,24,20,6,5,4,248,68,3,3,32,45,
1711429,28,0,18,29,1,4,16,152,122,48,15,17,87,111,14,8,3,6,13,7,1,10,5,4,77,26,30,43,23,0,12,22,3,46,32,19,6,4,4,226,46,2,2,25,34,
1711445,35,0,19,29,2,6,25,154,143,58,20,21,91,111,13,9,3,4,17,6,2,3,5,4,194,31,35,46,24,0,12,22,3,48,29,12,3,4,4,168,19,3,2,9,29,
1711461,497,343,456,125,215,200,443,203,403,239,145,21,112,101,14,8,3,4,18,7,1,3,5,4,211,39,29,31,17,0,17,27,3,41,15,0,8,4,4,49,0,3,3,6,0,
1711477,1971,1720,1655,988,1035,1330,1364,600,835,688,893,32,211,132,103,9,3,11,39,5,1,29,6,4,168,39,15,21,27,0,16,25,4,33,12,0,8,3,3,28,0,3,3,5,0,
1711493,2632,2367,2494,1779,2039,2149,2271,1104,1337,1285,1389,68,342,247,196,12,5,20,86,22,12,32,6,4,236,71,16,29,25,0,15,39,4,28,5,0,10,3,4,32,0,3,2,4,0,
1711509,2736,2356,2595,2234,2473,2528,2790,1629,1887,1961,1988,302,728,717,451,24,12,28,86,36,20,16,6,4,326,122,67,32,19,0,38,68,8,25,12,0,11,3,3,43,0,2,2,4,0,
1711525,2596,2102,2447,2340,2566,2600,2850,1919,2098,2238,2222,675,1073,1001,723,96,83,52,203,83,116,26,12,4,288,240,134,44,8,0,111,180,18,22,21,0,9,3,3,39,0,2,2,5,0,
1711541,2369,1791,2210,2284,2565,2588,2783,1980,2170,2290,2274,883,1239,1213,837,302,259,191,310,371,430,137,97,70,475,687,466,68,35,0,277,412,111,68,14,0,28,9,4,74,0,4,3,5,0,
