Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
1762453,248,211,312,365,387,603,623,876,899,775,920,873,1135,1032,725,1112,1105,890,717,1724,1911,1623,1257,1016,2231,2373,2329,2086,2097,1505,2162,2256,2342,2276,2421,1762,1384,1521,1737,2100,1844,864,757,1173,1597,
1762469,143,95,206,214,270,402,440,637,660,607,696,700,977,886,582,1065,1057,831,621,1716,1904,1587,1231,974,2259,2407,2365,2134,2150,1542,2213,2324,2419,2364,2517,1815,1488,1658,1853,2228,2036,978,856,1329,1819,
1762485,61,27,124,66,119,203,285,418,405,370,437,486,760,653,331,919,876,627,397,1617,1812,1459,1073,864,2375,2412,2370,2133,2147,1526,2227,2358,2470,2430,2595,1906,1542,1741,1940,2307,2184,1048,954,1472,2033,
1762501,28,4,31,17,41,39,124,115,236,178,164,264,527,406,154,595,551,328,236,1369,1505,1170,747,542,2275,2350,2301,2014,2059,1363,2173,2368,2490,2469,2649,1965,1560,1811,2008,2389,2332,1129,1082,1635,2230,
1762517,27,10,9,29,25,6,62,24,130,77,81,108,372,222,99,319,277,134,139,920,1028,690,277,191,1314,2193,2088,1765,1815,1059,1963,2329,2471,2474,2671,1985,1558,1834,2047,2446,2448,1187,1202,1782,2420,
1762533,22,11,5,23,6,3,10,18,68,29,19,16,214,126,77,79,72,23,64,390,434,130,75,37,1888,1915,1754,1297,1423,738,1662,2188,2367,2406,2634,1965,1480,1778,2022,2450,2520,1205,1243,1905,2565,
1762549,26,10,7,22,5,3,6,62,58,17,10,13,160,105,66,12,6,14,61,106,217,62,45,21,1453,1519,1232,675,939,367,1200,1952,2164,2232,2507,1875,1331,1583,1908,2396,2523,1112,1222,1982,2658,
1762565,30,11,5,23,4,3,6,78,60,16,4,12,137,81,38,10,8,11,32,58,125,114,41,22,1071,1123,848,415,443,153,771,1517,1732,1830,2117,1650,1111,1289,1597,2192,2375,992,1170,1983,2690,
1762581,35,11,9,23,3,3,4,88,78,21,9,11,91,49,33,9,7,9,8,16,70,25,8,52,836,844,705,381,514,83,438,1067,1215,1223,1571,1252,775,884,1263,1848,2056,845,1076,1914,2665,
1762597,38,13,9,22,3,3,3,88,88,20,32,10,66,25,38,9,4,4,3,8,38,18,13,12,693,717,638,301,526,103,201,726,786,773,1153,943,569,377,737,1152,1520,764,892,1774,2522,
1762613,39,14,11,24,3,3,4,92,88,24,30,11,60,22,41,8,3,9,7,8,33,60,6,4,599,518,551,208,426,117,74,448,630,509,857,726,372,145,280,710,599,675,638,1271,2101,
1762629,35,14,9,21,3,3,3,94,87,26,22,10,62,20,42,9,5,8,9,8,23,33,4,4,498,356,418,194,331,78,17,314,526,327,538,531,216,81,120,447,294,371,286,913,1152,
1762645,32,15,8,20,3,3,3,94,84,27,21,9,61,22,45,8,4,4,10,7,12,11,4,4,423,223,290,143,257,23,20,224,379,219,434,427,112,52,83,357,140,98,111,544,542,
1762661,29,15,5,20,3,3,3,92,76,29,17,10,62,25,47,8,4,4,10,8,9,17,5,4,196,174,193,106,172,0,18,168,137,144,323,234,66,16,61,208,5,17,30,257,156,
1762677,17,0,3,21,3,2,7,95,72,30,12,12,72,39,50,9,3,5,14,8,1,40,6,4,155,93,128,62,130,0,12,84,21,92,179,106,33,3,58,113,0,3,8,114,16,
1762693,18,0,3,20,1,3,9,96,93,37,13,12,88,51,49,9,3,6,16,8,1,23,6,4,108,25,62,35,62,0,12,41,5,99,53,19,13,2,37,24,0,3,4,20,0,
1762709,24,0,4,20,1,3,16,103,111,46,16,12,93,61,43,12,3,7,16,8,2,16,6,4,92,17,53,33,45,0,12,28,3,67,46,14,8,2,18,4,1,2,6,3,0,
1762725,21,0,4,20,1,2,15,107,108,48,15,12,86,73,30,8,3,14,15,7,1,17,3,4,90,12,49,37,42,0,14,29,3,51,28,16,7,3,4,9,0,2,2,6,0,
1762741,21,0,4,25,1,3,12,109,90,37,14,14,75,76,28,10,3,15,15,8,0,17,5,4,78,8,41,36,41,0,12,28,3,42,27,16,7,3,4,16,0,2,3,6,0,
1762757,18,0,4,24,1,3,7,109,88,30,11,13,59,73,29,8,3,7,16,8,1,9,5,4,71,3,36,32,43,0,14,22,3,43,23,16,7,3,4,26,0,3,2,5,0,
1762773,23,0,4,29,0,3,12,112,101,39,10,10,56,73,27,9,3,4,15,8,1,13,6,4,46,1,31,32,38,0,14,14,3,47,16,16,6,2,4,27,1,1,2,6,0,
1762789,25,0,3,29,1,2,15,122,120,49,12,10,51,72,27,10,3,4,16,7,1,12,6,4,29,1,27,31,34,0,12,14,3,41,11,15,4,2,4,19,0,1,3,4,0,
1762805,26,1,3,22,8,6,17,120,128,53,11,9,35,72,27,11,3,4,16,4,1,11,6,4,26,1,24,31,30,0,10,6,3,43,9,14,6,3,4,23,0,3,3,6,0,
1762821,30,2,4,26,8,8,22,125,136,56,15,10,24,74,17,9,3,4,16,7,1,16,6,4,30,0,12,31,33,0,12,13,3,41,10,12,6,4,4,31,0,4,3,7,0,
1762837,32,0,5,28,16,11,26,122,149,55,18,9,25,77,16,9,3,4,16,7,1,13,6,4,37,1,13,33,32,0,12,18,3,42,8,0,8,4,4,34,0,4,2,4,0,
1762853,32,0,7,26,19,13,33,124,157,59,18,9,25,78,17,9,3,4,12,8,1,12,5,4,41,2,14,32,32,0,12,20,3,41,20,1,7,4,3,38,0,4,2,4,0,
1762869,32,0,9,25,19,13,36,126,161,60,19,10,23,78,17,8,2,5,16,7,1,12,5,4,45,7,16,33,29,0,12,19,3,38,9,0,8,5,4,32,0,4,3,5,0,
1762885,32,0,9,28,19,13,34,127,160,61,20,9,19,77,16,9,4,4,16,8,2,8,5,3,49,8,16,33,23,0,14,15,3,26,9,0,8,4,4,32,0,3,3,4,0,
1762901,37,0,11,29,20,14,37,126,161,62,23,10,25,72,16,8,4,4,16,7,1,7,6,4,44,7,19,26,20,0,14,10,3,29,15,0,6,4,4,40,0,4,3,4,0,
1762917,45,1,13,29,20,17,38,120,167,64,23,10,37,71,15,10,3,4,16,7,2,6,5,4,41,4,16,25,19,0,12,10,3,28,20,0,5,3,4,46,0,2,2,5,0,
1762933,45,1,14,30,22,16,38,116,174,64,22,10,40,73,17,9,3,4,16,8,2,10,6,4,39,3,19,25,14,0,13,8,3,25,22,2,6,3,4,47,4,2,3,11,0,
1762949,45,1,16,31,20,20,38,114,178,66,24,9,41,73,17,8,3,4,14,8,1,11,6,4,43,3,19,25,12,0,12,11,3,24,24,0,4,2,4,55,0,1,2,20,0,
1762965,41,0,13,32,20,15,33,119,178,67,24,10,51,77,16,9,3,4,15,8,1,12,6,4,48,2,22,23,11,0,15,16,3,26,26,0,6,5,4,64,0,4,3,53,1,
1762981,33,0,5,27,12,9,23,118,164,62,18,11,66,81,14,8,3,4,15,8,1,8,6,4,62,2,25,27,11,1,17,22,3,27,29,0,6,4,4,78,0,4,3,78,33,
