Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
39433,93,43,53,36,87,19,128,178,389,307,129,9,56,80,78,9,3,3,103,93,219,83,4,4,281,449,413,203,468,713,26,89,74,190,299,307,87,4,4,74,130,3,3,8,16,
39449,81,33,47,36,75,11,123,178,385,296,121,9,58,87,78,11,3,3,103,107,227,97,4,4,309,480,441,245,507,757,29,94,84,207,339,327,96,4,4,99,146,3,3,7,19,
39465,71,3,39,33,66,6,114,178,381,290,107,10,65,87,78,11,2,3,103,117,240,110,8,5,334,505,468,273,533,794,32,100,86,213,366,339,99,4,4,111,169,3,3,8,20,
39481,61,3,37,31,57,5,106,174,378,278,102,9,66,88,75,11,3,3,106,119,243,122,12,5,348,522,484,293,556,813,33,100,90,218,380,353,103,4,5,116,183,4,3,7,20,
39497,59,4,33,31,52,6,103,173,373,269,95,9,66,88,78,11,3,3,103,124,248,125,12,6,356,530,496,303,576,826,34,101,91,221,391,361,105,4,2,118,192,4,3,6,20,
39513,62,1,31,32,54,6,101,169,368,267,94,8,66,88,78,11,3,4,99,131,248,124,12,5,361,540,503,315,580,839,33,104,93,219,399,366,108,4,4,118,193,3,3,7,20,
39529,61,1,31,32,54,5,100,169,366,268,98,9,66,88,78,12,3,0,95,133,246,122,12,6,366,544,503,318,580,844,33,106,94,219,396,371,107,3,4,116,191,3,3,7,20,
39545,62,3,33,32,58,5,103,169,365,270,103,8,66,88,78,11,3,3,87,134,247,117,12,5,369,546,503,315,578,844,33,107,93,215,390,366,107,4,4,114,186,3,3,7,20,
39561,66,2,33,32,58,6,107,169,368,273,107,9,66,91,78,12,3,3,85,130,246,107,12,5,368,543,499,306,567,846,35,109,92,211,384,368,105,4,4,111,183,3,3,7,20,
39577,67,2,37,31,61,6,111,170,370,276,113,10,64,88,79,9,3,3,82,128,244,103,11,5,364,538,489,296,555,843,34,108,90,208,373,359,103,4,4,107,170,3,3,6,20,
39593,70,2,38,30,65,6,116,170,372,278,119,9,58,87,80,10,3,3,71,125,238,95,4,4,355,525,470,278,543,833,34,103,87,198,362,349,99,4,4,102,157,2,3,7,20,
39609,77,4,40,30,66,8,122,172,374,280,122,9,47,84,80,9,3,3,65,111,235,90,4,6,337,500,440,250,513,820,32,103,80,183,344,337,100,4,4,95,140,6,3,7,20,
39625,86,30,44,33,66,10,128,174,378,285,122,8,48,78,79,11,1,2,63,101,228,81,4,5,314,471,421,220,486,804,31,99,72,168,324,327,98,4,4,84,136,3,3,6,21,
39641,95,37,51,33,72,16,132,178,381,290,133,9,45,77,82,8,3,3,66,91,216,76,4,4,285,446,402,200,463,783,30,95,62,151,306,319,91,4,3,66,132,3,3,7,20,
39657,101,44,56,35,79,19,141,178,385,296,138,9,41,76,84,8,3,3,67,78,213,71,4,4,251,414,368,178,435,769,28,89,62,141,289,302,87,4,3,58,122,3,3,5,19,
39673,105,49,58,37,83,24,150,180,389,308,143,8,37,74,84,8,3,3,65,69,208,69,4,4,223,391,349,148,407,747,27,82,60,137,265,281,81,3,4,51,110,3,3,4,17,
39689,112,53,62,39,91,29,150,179,395,314,146,9,29,70,88,8,2,3,59,65,199,67,4,4,207,364,331,124,382,734,24,75,55,132,244,269,75,4,4,37,87,3,2,4,16,
39705,123,68,70,39,91,33,156,178,397,319,152,9,29,69,88,7,3,3,58,62,192,67,4,5,192,345,309,102,361,712,21,70,48,130,225,252,68,3,4,29,72,3,3,4,14,
39721,129,77,74,41,91,38,156,179,402,328,150,8,25,65,87,8,3,3,56,59,177,66,4,4,168,320,290,91,344,692,20,63,48,125,209,241,64,3,4,21,66,3,3,4,13,
