Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
30338,-1.20107,-9.68516,1.95234,-80.5408,6.69617,-122.838,1.40381,3.11279,2.44141,0.397522,-0.269531,0.587982,-0.650757,-30227,11791,4847,-8977,-28664
30344,-1.22979,-9.66602,1.95234,-80.5353,6.71265,-122.855,1.58691,2.62451,2.50244,0.397491,-0.269318,0.588013,-0.650818,-29715,12303,5103,-8977,-28664
30350,-1.20107,-9.59902,1.9332,-80.5188,6.74011,-122.882,1.64795,2.0752,2.56348,0.397491,-0.269135,0.588043,-0.650879,-29459,12815,4079,-8977,-28664
30356,-1.225,-9.60381,1.85664,-80.5023,6.7511,-122.893,2.2583,1.28174,1.58691,0.397552,-0.268768,0.588074,-0.65097,-29203,13327,2031,-8969,-28665
30362,-1.22979,-9.66602,1.8375,-80.4913,6.76208,-122.904,2.50244,0.732422,1.34277,0.397552,-0.268616,0.588043,-0.651062,-29203,12559,1519,-8977,-28664
30368,-1.26328,-9.73779,1.804,-80.4749,6.76758,-122.91,2.92969,0.0610352,0.976562,0.397583,-0.268494,0.588013,-0.651123,-29715,11279,-18,-8977,-28664
30374,-1.26807,-9.72822,1.79443,-80.4584,6.77307,-122.915,3.2959,-0.427246,1.2207,0.397644,-0.268372,0.587921,-0.651215,-29971,10767,-1554,-8977,-28664
30380,-1.24893,-9.7043,1.74658,-80.4199,6.78955,-122.915,3.60107,-0.976562,1.58691,0.397705,-0.26828,0.58783,-0.651306,-29715,10511,-4114,-8977,-28664
30386,-1.22979,-9.63731,1.70352,-80.3979,6.80054,-122.91,3.84521,-1.89209,2.38037,0.397919,-0.268036,0.587646,-0.651459,-29203,10767,-4882,-8977,-28664
30392,-1.20107,-9.5751,1.70352,-80.376,6.81152,-122.904,3.60107,-2.31934,3.11279,0.398071,-0.267944,0.587524,-0.65152,-28691,10511,-5906,-8977,-28664
30398,-1.17236,-9.55596,1.73701,-80.354,6.82251,-122.899,2.99072,-2.56348,2.62451,0.398224,-0.267822,0.587402,-0.65155,-28435,9231,-7442,-8977,-28664
