Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
15426,-3.71328,-9.30713,1.20107,-82.771,22.2253,-120.234,-8.11768,-12.6343,-0.671387,0.477264,-0.197784,0.634521,-0.574768,25582,-16373,6125,-9051,-28655
15432,-3.69893,-9.35498,1.1915,-82.7875,22.2144,-120.19,-7.14111,-12.9395,-0.915527,0.477386,-0.198151,0.634521,-0.574554,25326,-15861,5357,-9051,-28655
15438,-3.62715,-9.30713,1.22021,-82.804,22.1869,-120.108,-6.28662,-12.7563,-0.915527,0.477661,-0.198853,0.634399,-0.574219,26350,-15349,749,-9051,-28655
15444,-3.5793,-9.30713,1.27285,-82.8094,22.1759,-120.07,-5.06592,-12.207,-0.305176,0.477814,-0.199188,0.634308,-0.574097,26606,-14837,-276,-9051,-28655
15450,-3.54102,-9.29277,1.28242,-82.8094,22.1649,-120.031,-4.76074,-12.207,0.183105,0.477936,-0.199463,0.634216,-0.573944,26350,-14325,-1556,-9051,-28655
15456,-3.50752,-9.21621,1.29678,-82.8094,22.1594,-119.993,-4.39453,-11.8408,0.732422,0.478119,-0.199707,0.634125,-0.573822,25838,-14325,-2068,-9051,-28655
15462,-3.44053,-9.1875,1.27764,-82.8094,22.1539,-119.954,-3.84521,-10.5591,1.0376,0.478271,-0.199951,0.634064,-0.5737,25838,-14069,-1812,-9051,-28655
15468,-3.46445,-9.24014,1.27764,-82.804,22.1429,-119.899,-3.60107,-9.94873,0.671387,0.478516,-0.200287,0.633911,-0.573517,26350,-12277,-2068,-9051,-28655
15474,-3.39746,-9.3167,1.32549,-82.7985,22.1375,-119.877,-2.31934,-8.11768,0.610352,0.478607,-0.200409,0.63385,-0.573486,26606,-11509,-1812,-9051,-28655
15480,-3.40225,-9.40762,1.29199,-82.793,22.1375,-119.861,-1.28174,-7.08008,0.915527,0.478699,-0.2005,0.633789,-0.573456,27374,-10229,-1812,-9051,-28655
15486,-3.36396,-9.43154,1.26328,-82.7875,22.132,-119.85,-0.427246,-6.04248,0.915527,0.47876,-0.200562,0.633728,-0.573456,27886,-9461,-4116,-9051,-28655
15492,-3.36396,-9.38848,1.22021,-82.7765,22.132,-119.844,0.610352,-5.18799,1.15967,0.47879,-0.200562,0.633636,-0.573517,27630,-9205,-5140,-9051,-28655
15498,-3.32568,-9.35498,1.20586,-82.7435,22.132,-119.844,1.52588,-4.08936,1.52588,0.478821,-0.200409,0.633514,-0.573669,27630,-9973,-5652,-9051,-28655
15504,-3.35918,-9.30713,1.17715,-82.7271,22.1375,-119.855,2.86865,-2.0752,1.64795,0.478821,-0.200256,0.633453,-0.573792,27630,-10485,-4884,-9051,-28655
15510,-3.38789,-9.25449,1.14844,-82.7106,22.1375,-119.872,3.2959,-1.28174,1.95312,0.47879,-0.200073,0.633392,-0.573975,27374,-11509,-4116,-9051,-28655
15516,-3.37832,-9.1875,1.11016,-82.6886,22.1429,-119.894,3.72314,-0.488281,2.13623,0.47876,-0.19986,0.633331,-0.574127,27374,-12277,-4116,-9051,-28655
