Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
182298,-9.83828,0.0765625,0.358887,25.2356,88.4125,-111.193,-0.305176,7.14111,2.13623,0.269501,0.649628,0.255157,-0.663422,3058,12779,-4117,-8969,-28665
182304,-9.78564,0.090918,0.282324,26.142,88.4399,-110.281,-0.183105,7.50732,2.0752,0.269531,0.649841,0.255188,-0.663177,2802,12523,-5909,-8969,-28665
182310,-9.76172,0.13877,0.191406,27.0209,88.4674,-109.402,-0.427246,7.56836,1.64795,0.269501,0.650055,0.255249,-0.662964,2290,12267,-7701,-8969,-28665
182316,-9.79043,0.181836,0.191406,27.8668,88.4949,-108.545,-0.610352,7.32422,1.40381,0.269501,0.650299,0.25531,-0.66272,2290,11499,-8981,-8969,-28665
182322,-9.8,0.133984,0.153125,29.0808,88.5498,-107.32,-0.427246,5.92041,0.12207,0.26947,0.650665,0.255493,-0.662292,1778,10987,-10005,-8969,-28665
182328,-9.79043,0.153125,0.14834,29.5258,88.5718,-106.875,-0.305176,5.18799,-0.244141,0.26944,0.650848,0.255585,-0.662109,2290,10987,-10261,-8969,-28665
182334,-9.79521,0.0765625,0.133984,29.9432,88.5938,-106.452,0,4.5166,-0.0610352,0.269379,0.65097,0.255646,-0.661957,2546,11755,-9493,-8969,-28665
182340,-9.81436,0.0574219,0.129199,30.3552,88.6047,-106.04,0,3.66211,0.305176,0.269348,0.651093,0.255737,-0.661835,2546,12523,-8981,-8969,-28665
182346,-9.8,0.0717773,0.110059,30.8661,88.6157,-105.524,0,3.35693,1.0376,0.269348,0.651184,0.255768,-0.661713,3570,13547,-8725,-8969,-28665
182352,-9.78086,0.143555,0.177051,31.701,88.6322,-104.689,-0.12207,2.13623,0.854492,0.269348,0.651367,0.255798,-0.66153,3570,13803,-8469,-8969,-28665
182358,-9.79521,0.153125,0.205762,32.0361,88.6377,-104.348,0.0610352,1.77002,0.915527,0.269379,0.651428,0.255829,-0.661469,3058,13803,-7957,-8969,-28665
182364,-9.79521,0.16748,0.205762,32.2833,88.6432,-104.101,0.366211,1.77002,0.366211,0.269379,0.651489,0.255829,-0.661407,2546,13547,-6677,-8969,-28665
182370,-9.78564,0.186621,0.196191,32.4426,88.6487,-103.942,0.12207,1.64795,-0.0610352,0.269379,0.65152,0.255829,-0.661346,1778,13547,-6677,-8969,-28665
182376,-9.78086,0.181836,0.172266,32.5635,88.6542,-103.821,0.488281,1.64795,-0.305176,0.269379,0.651581,0.255859,-0.661285,242,13547,-8213,-8969,-28665
182382,-9.80479,0.100488,0.172266,32.6843,88.6707,-103.7,0.305176,1.34277,-0.610352,0.269318,0.651642,0.25592,-0.661224,-783,13803,-9493,-8969,-28665
182388,-9.81436,0.110059,0.186621,32.7173,88.6761,-103.661,0.0610352,1.15967,-0.488281,0.269287,0.651672,0.255951,-0.661194,-1039,14571,-10005,-8969,-28665
182394,-9.81914,0.0957031,0.186621,32.7832,88.6816,-103.596,0.0610352,1.15967,-0.305176,0.269287,0.651703,0.255981,-0.661163,-1039,15339,-9493,-8969,-28665
182400,-9.81436,0.119629,0.191406,32.8711,88.6816,-103.508,0,0.915527,-0.0610352,0.269257,0.651703,0.256012,-0.661133,-783,14571,-8213,-8969,-28665
182406,-9.84785,0.0765625,0.205762,32.948,88.6871,-103.425,-0.183105,0.915527,-0.0610352,0.269257,0.651733,0.256042,-0.661102,1010,13803,-4117,-8969,-28665
182412,-9.8,0.110059,0.186621,33.2886,88.6926,-103.079,-0.305176,1.0376,0.305176,0.269287,0.651764,0.256073,-0.661041,1010,13547,-2069,-8969,-28665
182418,-9.82393,0.129199,0.172266,33.4698,88.6926,-102.898,-0.0610352,0.854492,0.488281,0.269287,0.651794,0.256104,-0.661011,1266,13547,-1301,-8969,-28665
182424,-9.81436,0.133984,0.14834,33.6127,88.6981,-102.755,-0.183105,0.732422,0.366211,0.269318,0.651825,0.256104,-0.66098,1010,13803,-2069,-8969,-28665
182430,-9.81436,0.114844,0.16748,33.7225,88.6981,-102.64,-0.0610352,0.671387,0.244141,0.269318,0.651825,0.256104,-0.66095,242,14059,-2581,-8969,-28665
182436,-9.79521,0.0957031,0.162695,33.8214,88.6981,-102.541,0,0.366211,0.366211,0.269348,0.651855,0.256134,-0.660919,242,12779,-3093,-8969,-28665
182442,-9.80479,0.110059,0.181836,34.0466,88.6926,-102.316,0,0,0.976562,0.269379,0.651855,0.256134,-0.660889,-15,12267,-3349,-8969,-28665
182448,-9.80957,0.133984,0.205762,34.1565,88.6926,-102.2,0.0610352,0.12207,0.610352,0.269409,0.651886,0.256104,-0.660889,-527,12011,-3093,-8969,-28665
182454,-9.80957,0.215332,0.215332,34.2059,88.6926,-102.151,0.0610352,0.12207,0.244141,0.26944,0.651886,0.256104,-0.660889,-527,12523,-2581,-8969,-28665
182460,-9.8,0.172266,0.220117,34.1675,88.6926,-102.189,0.183105,0,-0.183105,0.26944,0.651886,0.256104,-0.660858,-527,13547,-2069,-8969,-28665
182466,-9.78564,0.133984,0.181836,34.0302,88.6981,-102.332,0.549316,0.183105,-0.854492,0.26944,0.651886,0.256104,-0.660858,-783,14059,-2837,-8969,-28665
182472,-9.80479,0.100488,0.186621,33.8159,88.7036,-102.541,0.549316,0.366211,-0.549316,0.269379,0.651855,0.256134,-0.660889,-527,13803,-4373,-8969,-28665
182478,-9.80479,0.0765625,0.162695,33.7555,88.7036,-102.607,0.305176,0,-0.305176,0.269348,0.651886,0.256165,-0.660889,-1039,14059,-7189,-8969,-28665
182484,-9.82393,0.0957031,0.16748,33.739,88.7036,-102.618,0,-0.0610352,0,0.269348,0.651855,0.256165,-0.660889,-1039,14571,-9237,-8969,-28665
182490,-9.85264,0.0957031,0.153125,33.7335,88.7036,-102.623,0.12207,-0.183105,0.12207,0.269348,0.651855,0.256195,-0.660889,-1039,14827,-10261,-8969,-28665
182496,-9.81914,0.114844,0.13877,33.772,88.6981,-102.585,0.244141,-0.305176,0.427246,0.269379,0.651855,0.256195,-0.660889,-1551,14827,-11285,-8969,-28665
182502,-9.79043,0.181836,0.15791,33.6127,88.6926,-102.739,0.12207,-0.610352,-0.305176,0.269409,0.651825,0.256165,-0.660919,-1551,14827,-11029,-8969,-28665
182508,-9.80479,0.191406,0.196191,33.3051,88.6926,-103.046,0.183105,-1.15967,-0.915527,0.269409,0.651794,0.256165,-0.660919,-2063,14315,-10773,-8969,-28665
182514,-9.82393,0.129199,0.181836,32.9095,88.6871,-103.442,0.427246,-1.40381,-1.28174,0.269409,0.651764,0.256195,-0.66098,-3343,13547,-10773,-8969,-28665
182520,-9.84785,0.0765625,0.205762,32.536,88.6871,-103.815,0.427246,-1.40381,-1.15967,0.269379,0.651703,0.256195,-0.661011,-4367,12267,-10261,-8969,-28665
182526,-9.82871,0.0717773,0.215332,32.2174,88.6816,-104.134,0.183105,-1.40381,-0.854492,0.269379,0.651642,0.256226,-0.661072,-6927,12779,-9237,-8969,-28665
182532,-9.81914,0.0717773,0.258398,31.9263,88.6761,-104.42,-0.0610352,-0.671387,0,0.269379,0.65155,0.256256,-0.661163,-7439,13547,-8213,-8969,-28665
182538,-9.80957,0.0813477,0.311035,31.9427,88.6761,-104.403,-0.0610352,0,0.12207,0.269379,0.65155,0.256256,-0.661163,-7951,14315,-5909,-8969,-28665
182544,-9.81436,0.0957031,0.282324,32.0911,88.6761,-104.255,0,0.488281,0.549316,0.269409,0.65152,0.256256,-0.661163,-8207,14827,-4117,-8969,-28665
182550,-9.81914,0.114844,0.234473,32.2614,88.6816,-104.084,0.0610352,0.976562,0.366211,0.26944,0.65155,0.256256,-0.661133,-8463,14059,-2325,-8969,-28665
182556,-9.82871,0.114844,0.234473,32.4921,88.6816,-103.848,0,1.52588,0.366211,0.26944,0.651581,0.256256,-0.661102,-7439,11755,748,-8969,-28665
182562,-9.80957,0.13877,0.215332,33.0359,88.6981,-103.304,0,2.13623,0.244141,0.26944,0.651672,0.256287,-0.661011,-6927,10731,2028,-8969,-28665
