Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
6610,9.79043,0.373242,-0.0239258,102.629,-87.8302,-3.2959,0.12207,-0.305176,0.732422,0.46579,0.549438,-0.449646,0.528046,-28477,-3049,-11543,-8985,-28663
6616,9.79043,0.368457,-0.0478516,102.684,-87.8302,-3.31787,0.305176,-0.244141,0.732422,0.465637,0.549561,-0.449493,0.528198,-29245,-2793,-12311,-8985,-28663
6622,9.8,0.368457,-0.0191406,102.783,-87.8357,-3.38928,0.366211,-0.610352,0.732422,0.465454,0.549683,-0.449371,0.528351,-31037,-2025,-13591,-8985,-28663
6628,9.8,0.349316,-0.0669922,102.936,-87.8357,-3.50464,0.610352,-0.976562,0.793457,0.465271,0.549805,-0.449249,0.528473,-32061,-1257,-15639,-8985,-28663
6634,9.82393,0.334961,-0.0574219,103.244,-87.8412,-3.75183,0.854492,-0.976562,0.549316,0.464905,0.550079,-0.449005,0.528717,32707,-489,-16919,-8985,-28663
6640,9.79521,0.330176,-0.090918,103.365,-87.8467,-3.84521,0.549316,-0.854492,0.488281,0.464722,0.550201,-0.448914,0.528839,32707,-489,-18967,-8985,-28663
6646,9.81436,0.320605,-0.105273,103.436,-87.8412,-3.88367,0.610352,-0.610352,-0.244141,0.464539,0.550354,-0.448792,0.528961,32707,-745,-18711,-8985,-28663
6652,9.78086,0.334961,-0.0957031,103.475,-87.8412,-3.88916,0.610352,-0.305176,-0.0610352,0.464386,0.550476,-0.448639,0.529053,32707,-1001,-18199,-8985,-28663
6658,9.80479,0.358887,-0.100488,103.486,-87.8412,-3.86719,0.427246,-0.0610352,-0.0610352,0.464233,0.550629,-0.448486,0.529175,-32573,-1513,-15639,-8985,-28663
6664,9.84307,0.30625,-0.100488,103.414,-87.8357,-3.73535,0.488281,0.244141,-0.732422,0.463959,0.550873,-0.448181,0.529419,32707,-2025,-14103,-8985,-28663
6670,9.83828,0.334961,-0.114844,103.282,-87.8302,-3.56506,0.488281,0.732422,-1.40381,0.463837,0.550995,-0.447998,0.529541,31939,-2025,-14615,-8985,-28663
6676,9.79521,0.349316,-0.110059,103.101,-87.8247,-3.35083,0.671387,1.09863,-1.46484,0.463715,0.551147,-0.447784,0.529694,31939,-2025,-16407,-8985,-28663
6682,9.79521,0.334961,-0.100488,102.942,-87.8192,-3.15308,0.305176,0.915527,-1.64795,0.463623,0.5513,-0.447571,0.529816,32195,-2025,-17687,-8985,-28663
6688,9.80479,0.334961,-0.0957031,102.75,-87.8082,-2.92786,0.244141,1.09863,-1.89209,0.463501,0.551453,-0.447327,0.529938,-32573,-2537,-18199,-8985,-28663
6694,9.81914,0.354102,-0.062207,102.376,-87.7917,-2.48291,0.12207,1.0376,-2.13623,0.463287,0.551727,-0.446869,0.530212,-32317,-3049,-17687,-8985,-28663
6700,9.81436,0.358887,-0.0717773,102.233,-87.7863,-2.30713,0.0610352,0.732422,-2.01416,0.463196,0.55188,-0.446625,0.530334,-32061,-3049,-16663,-8985,-28663
6706,9.78086,0.392383,-0.0478516,102.112,-87.7753,-2.15332,0.183105,0.488281,-2.38037,0.463104,0.552063,-0.446411,0.530457,-32573,-2537,-15895,-8985,-28663
6712,9.78086,0.392383,-0.0574219,102.057,-87.7643,-2.05994,0.12207,0.0610352,-1.95312,0.463013,0.552216,-0.446167,0.530579,32707,-2025,-14871,-8985,-28663
6718,9.8,0.378027,-0.0382813,102.014,-87.7588,-1.98303,0.0610352,0.0610352,-1.52588,0.462891,0.552399,-0.445953,0.53067,32707,-1769,-15127,-8985,-28663
6724,9.75693,0.416309,-0.0382813,102.063,-87.7478,-1.97205,0.12207,-0.610352,-0.549316,0.462646,0.552704,-0.445587,0.530853,32707,-1769,-14871,-8985,-28663
6730,9.75215,0.430664,-0.0430664,102.173,-87.7478,-2.05444,0.244141,-0.915527,-0.183105,0.462524,0.552826,-0.445435,0.530975,32195,-3561,-13591,-8985,-28663
6736,9.75215,0.401953,-0.0813477,102.288,-87.7478,-2.13684,0.427246,-0.854492,0.366211,0.462372,0.552979,-0.445312,0.531067,32451,-4329,-12311,-8985,-28663
6742,9.79043,0.378027,-0.0717773,102.426,-87.7478,-2.2467,0.427246,-0.976562,0.610352,0.462189,0.553101,-0.44519,0.531158,32451,-5097,-12055,-8985,-28663
6748,9.77129,0.330176,-0.0382813,102.535,-87.7533,-2.3291,0.732422,-0.793457,0.366211,0.462036,0.553223,-0.445099,0.531281,32451,-5609,-12055,-8985,-28663
6754,9.7665,0.378027,-0.13877,102.678,-87.7533,-2.4115,0.671387,-0.305176,0.427246,0.4617,0.553467,-0.444855,0.531494,32707,-6121,-11799,-8985,-28663
6760,9.77607,0.392383,-0.105273,102.678,-87.7533,-2.37854,0.488281,0.0610352,0.244141,0.461548,0.553589,-0.444733,0.531616,31939,-7145,-12567,-8985,-28663
6766,9.77607,0.397168,-0.124414,102.623,-87.7588,-2.29065,0.671387,0.610352,0.610352,0.461426,0.553711,-0.44458,0.531738,31683,-7145,-12055,-8985,-28663
6772,9.77129,0.387598,-0.0861328,102.53,-87.7643,-2.1698,0.427246,0.976562,1.0376,0.461273,0.553802,-0.444427,0.531891,31171,-7657,-11543,-8985,-28663
6778,9.81436,0.344531,-0.0574219,102.431,-87.7698,-2.03796,0.793457,1.0376,0.915527,0.461121,0.553864,-0.444275,0.532074,30659,-8169,-10519,-8985,-28663
6784,9.83828,0.30625,-0.0813477,102.162,-87.7753,-1.69739,1.15967,1.28174,0.0610352,0.460815,0.554047,-0.44397,0.53241,30147,-8169,-8215,-8985,-28663
6790,9.87656,0.30625,-0.119629,101.948,-87.7698,-1.4502,1.34277,1.58691,-0.793457,0.460663,0.554169,-0.443756,0.532562,30659,-8425,-6423,-8985,-28663
6796,9.81914,0.301465,-0.105273,101.75,-87.7698,-1.21399,0.854492,1.40381,-1.09863,0.460541,0.554291,-0.443542,0.532745,30915,-7913,-5655,-8985,-28663
6802,9.76172,0.368457,-0.0765625,101.547,-87.7643,-0.97229,0.610352,1.40381,-1.40381,0.460419,0.554413,-0.443298,0.532898,31171,-7401,-5399,-8985,-28663
6808,9.82393,0.344531,-0.0574219,101.371,-87.7588,-0.76355,0.488281,1.15967,-1.40381,0.460327,0.554535,-0.443085,0.533051,31171,-7401,-5911,-8985,-28663
6814,9.8,0.378027,-0.0526367,101.091,-87.7478,-0.41748,0.488281,0.671387,-1.52588,0.460114,0.55481,-0.442627,0.533325,30659,-7401,-8983,-8985,-28663
6820,9.79043,0.373242,-0.0526367,101.019,-87.7423,-0.31311,0.610352,0.427246,-0.976562,0.459991,0.554962,-0.442413,0.533447,30147,-7913,-9495,-8985,-28663
6826,9.77607,0.378027,-0.0526367,100.981,-87.7368,-0.236206,0.671387,0.12207,-1.28174,0.459869,0.555115,-0.44223,0.533569,29123,-8425,-10263,-8985,-28663
6832,9.75693,0.397168,-0.0382813,100.986,-87.7313,-0.20874,0.671387,-0.183105,-0.854492,0.459747,0.555267,-0.442017,0.533691,28355,-8169,-10519,-8985,-28663
6838,9.75693,0.392383,-0.0478516,101.003,-87.7258,-0.197754,0.732422,-0.244141,-0.793457,0.459595,0.555389,-0.441864,0.533813,27843,-7913,-10519,-8985,-28663
6844,9.76172,0.406738,-0.114844,101.08,-87.7258,-0.20874,0.671387,-0.305176,0.0610352,0.45929,0.555695,-0.441528,0.534027,27843,-6889,-10775,-8985,-28663
6850,9.7665,0.373242,-0.105273,101.107,-87.7313,-0.197754,0.610352,-0.12207,0.183105,0.459137,0.555817,-0.441376,0.534149,27843,-6633,-11031,-8985,-28663
6856,9.79043,0.373242,-0.114844,101.091,-87.7313,-0.148315,0.366211,0.183105,0.0610352,0.458984,0.555939,-0.441223,0.534271,28355,-6889,-11031,-8985,-28663
6862,9.77607,0.373242,-0.0813477,101.036,-87.7313,-0.065918,0.244141,0.488281,0.183105,0.458832,0.556061,-0.441071,0.534424,28867,-7657,-10519,-8985,-28663
6868,9.81914,0.397168,-0.0957031,100.937,-87.7313,0.0604248,0.12207,0.793457,-0.183105,0.458679,0.556152,-0.440918,0.534576,29123,-8425,-11031,-8985,-28663
6874,9.80479,0.378027,-0.0669922,100.701,-87.7313,0.357056,0,1.09863,-0.244141,0.458435,0.556366,-0.440582,0.534851,30403,-10217,-12823,-8985,-28663
