Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
30208,46,0,24,24,0,3,53,198,322,182,109,11,3,15,18,9,1,3,3,35,1,3,5,0,33,16,9,3,4,17,9,3,8,58,4,0,1,4,4,4,0,3,3,4,0,
30224,45,0,23,24,3,3,53,198,322,182,109,9,2,15,17,9,1,3,2,35,1,3,3,4,32,16,9,3,4,17,8,3,8,57,4,1,1,1,3,4,0,2,3,4,0,
30240,45,0,24,24,0,3,53,198,323,182,109,8,3,16,17,9,1,3,1,35,1,2,2,4,32,16,9,3,4,19,9,4,8,58,4,0,1,3,3,3,0,2,2,4,0,
30256,45,0,25,24,0,6,53,198,322,182,110,8,2,16,17,9,1,3,4,35,1,2,2,4,35,15,9,3,4,17,10,3,9,58,4,0,2,3,3,4,0,2,3,4,0,
30272,46,0,23,24,0,3,52,199,321,181,109,9,3,15,19,8,1,3,2,35,1,3,3,4,35,16,9,3,4,19,10,3,9,58,4,0,1,3,3,4,0,2,3,4,0,
30288,45,0,23,25,0,3,52,198,320,182,111,9,3,16,18,9,2,3,3,36,1,3,3,4,33,15,9,3,4,19,9,3,9,58,4,0,1,3,3,4,0,2,3,4,0,
30304,45,0,23,24,0,3,52,198,320,183,109,9,3,16,17,9,3,3,3,35,1,3,3,4,33,16,10,4,4,19,10,3,8,58,4,0,1,3,3,4,0,2,3,4,0,
30320,45,0,23,23,0,3,52,198,321,182,109,8,2,13,17,8,1,3,3,35,1,2,3,4,34,16,9,3,4,20,11,2,9,58,4,1,1,3,3,4,0,2,3,0,0,
30336,43,0,23,22,0,3,53,203,319,182,109,9,3,16,18,9,1,3,3,35,1,3,2,4,35,16,9,3,4,19,12,3,8,58,4,0,1,3,3,4,0,2,3,4,0,
30352,44,0,23,25,0,3,52,198,321,182,110,8,3,16,18,9,2,3,3,35,1,3,3,4,34,15,9,3,4,19,10,3,8,57,4,0,1,3,3,4,0,2,3,6,0,
30368,43,0,24,24,0,3,52,199,327,183,109,9,3,16,18,10,1,3,3,35,1,2,3,4,33,16,10,3,4,19,11,3,9,58,4,0,1,3,3,4,0,2,3,4,0,
30384,42,0,23,25,0,3,53,199,319,182,109,9,3,16,19,9,2,3,3,35,1,2,4,4,36,15,10,3,4,19,10,3,9,58,4,0,1,3,3,3,0,1,3,4,0,
30400,42,0,22,23,0,2,52,198,319,182,110,8,3,16,17,8,1,3,2,35,1,3,3,4,33,16,10,3,4,18,10,3,9,58,4,0,1,3,3,4,0,2,4,4,0,
