Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
15352,60,0,22,16,0,3,61,171,245,191,87,8,6,3,8,10,1,2,3,11,1,2,4,4,33,1,3,3,4,0,17,0,2,16,4,0,0,1,4,4,0,1,3,4,0,
15368,60,0,24,16,0,3,61,170,244,191,87,9,2,2,8,11,1,2,4,10,1,2,2,4,34,0,3,3,4,0,19,1,1,17,4,0,0,2,4,4,0,1,3,4,0,
15384,61,1,23,18,0,3,61,170,244,191,87,8,3,3,8,11,1,3,4,11,1,2,3,4,34,0,2,2,4,0,20,4,1,16,4,0,0,2,6,4,0,1,3,4,0,
15400,61,0,23,16,0,2,61,174,243,190,86,9,2,3,8,10,1,2,4,12,1,2,3,4,33,0,2,3,4,1,20,1,1,16,4,0,1,1,4,4,0,1,2,4,0,
15416,60,0,23,18,0,3,61,170,243,191,86,9,3,3,8,11,1,2,4,11,1,2,3,4,34,1,2,3,4,0,20,0,1,16,4,0,0,1,4,4,0,1,3,4,0,
15432,62,0,23,17,0,3,61,170,243,191,87,10,2,3,8,9,2,2,4,11,1,2,3,4,33,1,2,3,4,0,21,0,3,17,4,0,0,2,4,4,0,1,3,4,1,
15448,59,0,24,16,0,3,61,169,244,191,86,8,2,3,8,9,1,2,3,12,0,4,3,4,33,0,2,3,3,0,19,0,2,16,4,0,0,2,4,4,0,1,3,4,0,
15464,61,0,22,17,0,3,61,170,244,191,86,9,2,3,8,11,1,2,3,12,1,2,3,4,35,0,3,3,4,0,20,0,1,18,4,0,2,3,4,4,0,1,3,4,0,
15480,60,0,23,16,0,3,61,170,245,192,87,9,3,3,8,12,1,2,4,11,1,3,4,4,33,0,4,3,4,0,20,0,1,17,4,0,0,2,4,4,0,1,3,4,0,
15496,60,0,24,16,0,3,60,171,244,191,87,9,3,4,8,11,1,3,4,12,1,2,3,4,33,0,3,3,4,0,20,0,1,16,4,0,0,1,4,5,0,1,3,4,0,
15512,60,0,23,16,0,3,61,170,245,191,87,16,3,3,8,9,1,2,3,11,1,2,3,4,33,1,2,3,4,0,17,0,1,16,4,4,0,1,4,4,0,2,2,4,0,
15528,61,0,23,16,0,3,61,171,245,191,87,9,3,3,8,9,1,2,3,11,1,2,3,4,34,1,2,3,4,0,20,0,2,17,4,0,0,1,4,4,0,3,2,4,0,
15544,61,0,23,17,0,3,60,173,244,191,87,9,2,3,8,9,1,3,4,11,0,4,3,4,33,0,2,2,4,0,20,0,2,16,4,0,0,1,4,4,0,1,3,4,0,
