Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
182168,8,120,2,6,3,2,4,6,2,2,3,5,1,2,4,6,1,2,2,6,0,1,2,4,6,1,2,2,4,0,6,1,2,2,4,0,1,1,3,4,0,1,3,4,0,
182184,7,118,2,5,3,2,2,6,2,1,2,7,1,3,2,6,2,2,3,7,0,2,2,4,7,0,2,2,4,0,6,0,2,3,4,0,0,2,3,4,0,2,3,4,0,
182200,7,117,3,6,2,1,3,6,1,3,3,5,1,2,3,6,1,2,3,6,1,2,2,4,7,0,2,3,4,0,6,0,2,3,6,0,1,2,3,4,0,2,3,4,0,
182216,7,114,2,5,3,1,2,6,1,2,4,6,1,2,2,5,1,2,3,6,0,2,3,4,7,0,2,3,4,0,6,0,2,2,4,0,1,1,3,4,0,1,3,4,0,
182232,7,112,2,6,2,2,3,7,1,2,2,7,1,2,3,6,1,2,3,7,1,3,3,4,6,1,2,3,4,0,6,1,2,3,4,0,1,2,3,4,0,2,3,4,0,
182248,8,111,3,5,3,2,3,6,2,2,3,6,1,3,3,6,1,2,3,6,1,2,2,4,7,1,3,0,4,0,6,1,2,3,3,0,1,2,3,4,1,2,3,4,0,
182264,8,111,2,5,3,2,3,6,3,1,3,7,1,2,3,6,3,2,3,6,0,1,3,4,6,1,1,4,4,0,6,0,1,3,4,0,0,3,3,4,0,2,2,4,0,
182280,7,111,3,5,3,1,3,6,2,1,3,6,1,2,2,6,0,2,2,7,1,1,2,4,6,0,1,3,4,0,7,0,1,3,4,0,1,1,3,4,0,1,3,4,0,
182296,7,114,3,6,3,2,3,7,2,2,2,7,1,2,3,7,1,2,2,6,1,2,2,4,6,0,2,3,4,0,6,0,2,3,5,0,1,2,3,4,0,2,3,4,0,
182312,7,118,3,5,3,2,3,6,2,2,5,7,0,2,3,6,1,2,2,6,1,3,3,4,7,1,2,3,4,0,6,0,1,3,4,4,1,3,3,4,0,1,3,4,0,
