Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
27112,6,0,2,6,0,2,3,7,0,2,2,6,0,1,10,6,0,2,2,6,0,1,2,3,6,1,2,2,4,0,6,0,2,3,4,0,0,2,3,4,0,2,3,4,0,
27128,5,0,2,6,0,1,3,6,0,3,2,6,0,2,3,6,0,1,0,6,0,2,3,4,6,0,3,2,4,0,6,0,2,3,4,0,0,2,2,4,0,1,2,4,1,
27144,6,1,1,6,1,2,3,6,0,2,3,6,0,1,2,6,0,3,3,6,0,2,3,4,6,0,2,2,7,0,6,0,1,3,4,0,0,2,3,4,0,1,2,4,0,
27160,7,0,2,6,0,2,3,6,0,1,2,6,0,2,3,6,0,2,2,6,0,1,2,4,6,0,2,2,4,0,6,0,4,3,4,0,0,1,2,4,0,3,1,4,0,
27176,8,0,2,6,0,2,2,7,0,1,3,6,0,2,2,6,0,3,3,6,0,2,3,4,6,0,2,2,4,0,6,0,2,2,4,0,1,4,3,4,0,2,3,4,0,
27192,6,0,4,6,0,1,3,7,0,2,2,6,0,2,2,7,0,2,2,6,0,2,2,4,6,0,2,4,4,0,6,0,1,3,4,0,0,2,2,4,0,2,2,4,0,
27208,7,0,2,3,0,1,2,6,0,2,3,6,0,2,3,6,0,2,2,6,0,2,3,4,6,0,2,2,4,0,7,0,2,3,4,0,0,2,3,3,0,2,2,4,0,
27224,6,0,2,6,0,2,3,6,0,2,4,6,0,2,2,6,0,2,3,6,0,2,2,4,6,0,0,2,4,0,6,2,2,2,4,0,0,2,3,4,0,2,3,4,0,
27240,6,0,2,6,0,1,2,7,0,1,3,6,0,2,2,6,0,1,3,6,0,2,2,4,6,0,4,3,4,0,4,0,2,2,4,0,0,2,3,4,0,1,3,4,0,
27256,6,0,2,6,0,4,4,6,0,1,2,6,0,1,3,6,1,2,2,6,0,1,4,4,7,0,2,3,4,0,6,0,3,3,4,0,0,2,2,4,0,1,2,4,0,
27272,6,0,3,6,0,1,3,6,0,1,2,6,0,2,0,6,0,2,3,6,0,2,2,4,6,0,2,3,4,0,7,0,3,3,4,0,0,1,3,4,0,1,2,4,0,
27288,7,1,2,6,0,1,2,6,0,3,3,6,0,1,2,7,0,3,2,6,0,1,2,4,6,0,2,3,4,0,6,1,2,2,4,0,0,3,3,4,0,3,3,4,0,
27304,6,0,10,6,0,2,2,6,0,2,3,6,0,2,2,6,0,0,1,6,0,1,2,4,6,0,2,3,4,0,6,0,1,2,3,0,0,2,3,4,0,2,3,4,0,
27320,6,0,1,6,0,2,3,7,0,2,2,6,0,1,3,6,0,2,3,6,0,2,2,4,6,0,2,2,4,0,8,0,1,2,4,0,0,1,2,4,0,1,2,4,0,
27336,7,0,2,6,0,2,3,6,0,2,2,6,0,2,2,6,0,2,2,6,0,2,2,4,6,0,1,3,3,0,7,0,2,2,4,0,0,2,2,4,0,2,3,4,0,
27352,7,0,2,6,2,2,3,6,0,1,3,6,0,1,3,6,0,2,2,6,0,1,2,4,6,0,2,2,4,0,6,0,2,2,4,0,0,1,3,4,0,2,3,4,0,
27368,6,0,1,6,0,2,3,6,0,2,2,6,0,2,2,6,0,1,2,7,0,2,2,4,6,0,1,3,4,0,6,1,3,2,4,0,1,0,3,4,0,2,3,4,0,
27384,6,0,2,6,0,2,2,7,0,2,2,6,0,1,2,7,0,2,0,7,1,4,2,4,4,0,1,2,4,0,6,1,2,2,4,1,0,2,3,4,0,2,3,4,0,
