Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ
7915,2.08991,-0.325203,9.61262,-0.07,-0.21,3.5
7921,1.94165,-0.401722,9.67001,0.07,-3.01,2.31
7927,2.02774,-0.593018,9.71305,-1.05,-2.03,0.28
7933,2.17121,-0.167384,9.44046,-0.35,-0.35,2.03
7939,2.22382,-0.234338,9.69871,-0.49,-3.57,0.07
7945,1.92252,-0.411286,9.66045,0.28,-3.15,1.33
7951,2.09469,-0.310856,9.70827,-0.21,-2.94,0.63
7957,2.12817,-0.215208,9.62697,1.05,-4.62,-1.96
7963,1.80775,-0.392157,9.63175,-0.28,-2.24,-0.91
7969,1.74558,-0.57867,9.35437,1.12,-2.24,1.61
7975,1.99426,-0.416069,9.8087,0.07,-3.43,1.54
7981,2.06121,-0.430416,9.80392,0.84,0.07,2.52
7987,1.71688,-0.310856,9.52654,-0.28,-0.14,1.05
7993,2.04687,-0.243902,9.6461,0.14,-0.7,1.96
7999,1.78384,-0.329986,9.76566,0.7,-3.99,1.05
8005,2.07078,-0.425634,9.81349,0.14,-3.15,2.87
8011,2.18556,-0.329986,9.50741,-0.42,-1.54,2.45
8017,2.00861,-0.559541,9.55045,-0.7,-1.4,-0.07
8023,1.82688,-0.23912,9.47394,-0.56,-1.82,-0.14
8029,1.91296,-0.473458,9.57915,-0.21,-2.45,0.35
8035,1.75992,-0.282162,9.53132,1.26,-2.73,1.82
8041,2.02296,-0.506934,9.81827,-0.14,-2.66,-1.26
8047,1.63558,-0.554758,9.55523,0.14,-1.33,1.4
8053,2.1186,-0.349115,9.43568,0.14,-2.17,0.63
8059,1.89383,-0.373027,9.57915,0,-2.24,1.54
8065,1.98948,-0.363462,9.62697,0,-1.05,0
8071,2.0373,-0.205643,9.55523,0.77,-1.4,1.12
8077,2.05165,-0.373027,9.81827,0.63,-1.54,1.75
8083,1.86514,-0.382592,9.55523,-0.63,-1.19,1.61
8089,1.75992,-0.363462,9.56958,0.07,-2.59,2.8
8095,1.99904,-0.420851,9.71784,-0.77,-0.98,3.22
8101,2.1999,-0.243902,9.67958,-0.7,-2.59,-0.84
8107,2.14252,-0.526064,9.4548,0.84,-3.43,0.98
8113,2.03252,-0.444763,9.65567,0.35,-1.05,2.73
8119,2.08513,-0.430416,9.38785,0.7,-1.75,0.98
8125,2.17599,-0.196078,9.78001,-0.14,-1.82,1.61
8131,1.89861,-0.664754,9.90435,0.77,-5.95,-1.26
8137,2.0373,-0.526064,9.52654,-0.14,-2.17,2.1
8143,2.10904,-0.569106,9.61741,-1.05,-1.68,1.47
8149,1.71688,-0.435198,9.59828,0.49,-3.5,2.31
8155,1.87948,-0.506934,9.52176,-0.42,-2.59,-0.14
8161,1.91774,-0.200861,9.41655,0.07,-3.22,0.35
8167,1.82209,-0.320421,9.4548,0.21,-2.45,1.4
8173,1.99904,-0.344333,9.71784,0.35,-1.4,2.03
8179,2.08034,-0.248685,9.62219,0,-1.75,0.91
8185,2.07556,-0.35868,9.54089,0.63,-2.59,1.54
8191,1.71688,-0.396939,9.61262,0.35,-1.54,1.82
8197,1.93209,-0.310856,9.6461,-0.28,-1.33,1.61
8203,1.99426,-0.11956,9.49785,-0.21,-1.82,2.1
8209,1.95122,-0.162602,9.67001,0.28,-3.15,0.7
