Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ
72351,1.94165,-0.49737,9.82305,0.28,-2.87,0.84
72357,4.47633,-0.808226,17.7331,-0.63,-0.7,1.89
72363,1.86035,-0.416069,9.7274,-0.49,-0.28,2.17
72369,1.88905,-0.387374,9.71305,-0.77,-0.49,0.49
72375,2.20469,-0.109995,9.57915,0.42,-0.7,2.1
72381,2.01339,-0.559541,9.75131,-0.63,-2.52,1.96
72387,1.78862,-0.382592,9.61741,-0.21,-2.31,1.4
72393,2.08034,-0.234338,9.47394,0.7,-2.03,1.33
72399,2.18556,-0.205643,9.5648,0.91,-5.04,-1.05
72405,1.81731,-0.196078,9.84696,0,-0.63,1.19
72411,1.94165,-0.325203,9.44046,0.21,-1.82,0.77
72417,2.00861,-0.430416,9.44524,-0.21,-2.87,1.05
72423,2.22382,-0.186514,9.33046,0.35,-3.08,1.12
72429,2.08513,-0.483022,9.66045,-0.14,-1.26,1.47
72435,1.94644,-0.373027,9.6461,0.14,-0.98,1.68
72441,1.75514,-0.569106,9.76566,0.21,-1.33,1.47
72447,2.13773,-0.267814,9.56002,-0.42,-1.4,0.21
72453,1.74558,-0.282162,9.60306,0.42,-3.22,0
72459,1.91296,-0.382592,9.64132,0.07,-1.33,3.85
72465,1.9847,-0.301291,9.56002,0.91,-3.01,1.47
72471,1.82688,-0.234338,9.61262,0.56,-2.66,1.26
72477,2.01339,-0.310856,9.57915,-0.07,-2.45,-0.63
72483,1.97513,-0.368245,9.4022,0.49,-1.47,1.61
72489,1.83644,-0.286944,9.69871,0.21,-2.24,0.77
72495,2.15208,-0.411286,9.41176,0.42,-2.73,2.52
72501,2.13773,-0.483022,9.88522,-1.05,-3.71,-0.35
72507,1.93687,-0.406504,9.56958,0.14,-1.33,1.54
72513,1.83166,-0.229555,9.56002,0.07,-1.33,1.89
72519,1.88905,-0.329986,9.70827,0.98,-1.26,3.99
72525,2.10904,-0.487805,9.6748,0.07,-0.42,2.17
72531,1.96078,-0.363462,9.41655,0.42,-2.45,-0.84
72537,1.9847,-0.406504,9.42133,-0.28,-1.82,-0.56
72543,2.06121,-0.35868,9.39263,0.35,-2.52,0.98
72549,1.76949,-0.181731,9.8374,0.14,-2.1,2.8
72555,1.77427,-0.406504,9.8087,0.49,-2.31,2.45
72561,1.66906,-0.215208,9.30655,0.28,-1.82,1.19
72567,1.62123,-0.368245,9.68914,-0.63,-0.98,1.61
72573,1.75992,-0.35868,9.8374,0.14,-1.89,2.1
72579,2.19034,-0.516499,9.53132,-0.63,-2.38,1.68
72585,1.88905,-0.105213,9.47394,-0.21,-0.84,1.89
72591,1.90818,-0.511717,9.43568,-0.14,-2.38,1.47
72597,1.83166,-0.425634,9.73697,-0.21,-3.64,0.84
72603,1.82688,-0.392157,9.70349,0.14,-1.4,1.4
