Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ
18435,0.33955,0.49737,9.65088,0.7,-3.15,2.03
18441,0.234338,0.349115,9.89,1.19,-3.01,0.63
18447,0.229555,0.49737,9.78957,3.01,-1.26,0.84
18453,0.315638,0.554758,9.97609,2.73,-1.19,0.21
18459,0.439981,0.296509,9.66045,2.94,-1.82,1.12
18465,0.291726,0.291726,9.63654,2.1,-2.45,0.42
18471,0.248685,0.506934,9.90913,1.26,-3.36,-0.07
18477,0.277379,0.363462,9.84218,0.56,-3.43,0.14
18483,-0.0191296,0.368245,9.81827,0.98,-2.66,0.42
18489,0.153037,0.200861,9.89957,0.84,-1.61,0.63
18495,0.392157,0.363462,9.84696,1.68,-3.08,0.35
18501,0.325203,0.506934,9.93305,1.26,-1.05,2.52
18507,0.148254,0.186514,9.79914,2.87,-2.38,2.87
18513,0.353898,0.329986,9.99522,3.29,-2.52,0.14
18519,0.21999,0.253467,9.54089,4.76,-1.82,0.84
18525,0.411286,0.487805,9.61262,5.39,-1.82,0.84
18531,-0.0095648,0.382592,9.7561,5.04,-2.66,-0.7
18537,0.191296,0.363462,9.77044,4.06,-1.89,-1.4
18543,0.11956,0.234338,9.73697,3.57,-2.24,-2.73
18549,0.349115,0.234338,9.69871,1.68,-0.84,-1.96
18555,-0.0191296,0.540411,9.81827,1.33,-2.17,-2.45
18561,0.353898,0.526064,9.68914,0.98,-2.38,-1.26
18567,0.267814,0.439981,9.89,-0.21,-2.52,-0.07
18573,0.320421,0.463893,9.81349,-0.21,-2.45,0.84
18579,0.282162,0.396939,9.69871,-0.98,-2.24,1.19
18585,0.210426,0.315638,9.84696,-0.07,-1.54,1.19
18591,-0.0430416,0.463893,9.75131,1.05,-2.38,0
18597,0.0526064,0.420851,9.76088,1.19,-1.19,-0.42
18603,0.210426,0.272597,9.67958,1.05,-0.35,0
18609,0.368245,0.23912,9.60306,0.77,-0.56,-1.33
18615,0.315638,0.45911,10.043,-0.91,-2.94,-1.12
18621,0.344333,0.621712,9.63175,-0.07,-2.24,-0.35
18627,0.420851,0.267814,9.8087,-1.19,-2.24,0.91
18633,0.224773,0.229555,9.64132,-2.24,-0.98,1.61
18639,0.334768,0.607365,9.8087,-2.94,-0.21,1.96
18645,-0.0382592,0.530846,9.79914,-3.01,1.61,0.28
18651,-0.0334768,0.33955,9.67001,-1.05,-1.33,0.35
18657,-0.0047824,0.329986,9.99522,-2.24,-0.56,-0.07
18663,0.0765184,0.363462,9.71305,-0.91,0.21,1.33
18669,0.0143472,0.33955,9.99043,-1.12,0.91,1.47
18675,-0.0095648,0.49737,9.62219,-0.84,-2.66,0.56
18681,0.320421,0.344333,9.98087,-0.98,-3.29,-0.49
18687,0.0621712,0.248685,9.68436,-1.12,-2.24,0.35
18693,0.047824,0.229555,9.8087,-1.75,-0.63,-0.56
18699,0.10043,0.176949,9.87087,-2.52,-0.42,1.96
18705,0.310856,0.454328,9.90913,-3.5,-1.61,0.49
18711,0.0908656,0.286944,9.79436,-3.01,-2.38,0.14
18717,0.186514,0.5978,9.65088,-3.15,-2.24,0.14
18723,0.143472,0.205643,9.81349,-2.17,-2.1,1.05
18729,0.334768,0.210426,9.73697,-0.84,-1.33,1.96
18735,0.363462,0.229555,9.65088,0.7,-1.61,1.4
18741,0.191296,0.210426,9.78001,0.7,-0.7,-0.56
18747,0.368245,0.406504,9.83261,3.08,-1.68,0.42
18753,0.191296,0.253467,9.95217,3.01,-1.33,-0.21
18759,-0.023912,0.296509,9.81827,2.94,-2.52,-1.68
18765,-0.0047824,0.411286,9.68914,0.84,-1.47,-1.47
18771,0.301291,0.291726,9.74653,-0.07,-2.59,-1.75
18777,0.0143472,0.5978,9.8374,0.21,-1.33,-0.28
18783,-0.0430416,0.607365,9.81349,0.42,-1.61,1.82
18789,0.0095648,0.57867,9.98087,-0.21,-2.31,2.45
18795,0.186514,0.33955,9.95217,-1.26,-1.54,0.77
18801,-0.153037,0.210426,9.59828,-0.91,-2.31,2.31
18807,0.492587,0.688666,9.81349,0.07,-2.24,0.21
18813,0.0382592,0.200861,10.0765,1.96,-3.29,0.49
18819,-0.0286944,0.363462,9.71784,2.52,-2.87,-0.14
18825,0.306074,0.439981,9.98087,3.99,-3.29,0.91
18831,0.37781,0.310856,9.93305,4.69,-2.94,-0.21
18837,0.210426,0.109995,9.66045,5.39,-2.31,-0.49
18843,0.157819,0.746054,9.8087,5.25,-2.38,-0.49
18849,0.334768,0.296509,9.94261,3.71,-1.75,-0.49
18855,0.153037,0.344333,9.78001,2.59,-0.84,-1.54
18861,-0.133907,0.334768,9.6461,2.66,-1.82,-3.22
18867,0.0669536,0.602582,9.95217,1.26,-1.26,-1.54
18873,-0.114778,0.45911,9.66523,0.7,-0.42,-0.63
18879,0.21999,0.263032,10.0335,0.07,-0.14,0.84
18885,0.133907,0.162602,10.0526,-0.28,-1.05,0.63
18891,0.172166,0.588235,9.69392,0,-0.98,0.63
18897,-0.0573888,0.69823,9.73697,-0.98,-1.61,-0.14
18903,0.196078,0.282162,9.71305,-1.26,-3.08,0.84
18909,0.502152,0.301291,9.90435,-0.77,-4.41,-1.4
18915,0.363462,0.0621712,9.78001,0.49,-3.78,1.89
18921,-0.0047824,0.382592,9.54567,-0.42,-2.1,1.33
18927,0.387374,0.416069,9.9187,0.42,-1.33,1.96
18933,0.263032,0.569106,9.61262,-0.49,-0.35,0.56
18939,0.0813008,0.310856,9.88044,0.49,-0.56,1.68
18945,-0.0143472,0.320421,9.85174,0.07,-2.66,0.07
18951,0.071736,0.49737,10,0.56,-3.01,0.7
18957,0.11956,0.325203,9.6461,0.07,-3.43,-0.07
18963,-0.0095648,0.167384,9.61262,-0.77,-3.71,0.14
18969,0.191296,0.353898,9.8087,0.56,-1.96,0.77
18975,0,0.153037,9.61741,0.63,-3.29,0.42
18981,0.387374,0.549976,9.90913,0,-0.84,3.15
18987,0.109995,0.444763,9.79436,1.19,-1.61,2.38
18993,0.21999,0.368245,9.85653,-0.42,-0.98,1.05
18999,0.416069,0.49737,9.98087,-0.07,-0.35,1.26
19005,0.186514,0.559541,9.93783,0.98,-0.63,1.96
19011,-0.095648,0.57867,10.0048,0.42,-1.89,0.98
19017,0.196078,0.396939,9.84218,1.26,-2.03,0.49
19023,0.167384,0.674318,9.57915,1.33,-2.24,0.21
19029,0.416069,0.205643,9.59828,0.7,-0.91,1.05
19035,0.21999,0.45911,9.90435,1.33,-2.52,0.49
19041,0.124342,0.540411,9.83261,1.54,-2.38,2.24
19047,0.181731,0.167384,10.0191,0.56,-3.22,0.14
19053,0.277379,0.554758,9.57915,1.33,-1.89,1.82
19059,0.11956,0.626494,9.79436,0.14,-1.75,0.28
19065,-0.0573888,0.506934,9.54089,0.91,-0.35,1.61
19071,0.291726,0.401722,9.64132,0.84,-0.98,0.91
19077,0.306074,0.368245,9.93305,0.07,-0.42,1.54
19083,0.286944,0.277379,9.67958,-1.33,-0.21,1.4
19089,0.33955,0.492587,10.0909,-1.89,0.35,1.26
19095,0.196078,0.186514,9.68914,-1.4,-0.28,0.28
19101,0.176949,0.35868,9.96174,-1.61,-1.12,1.26
19107,-0.0143472,0.153037,9.90913,-0.98,-2.31,0.35
19113,0.205643,0.439981,9.73697,0.14,-2.8,0.42
19119,-0.191296,-0.10043,10.2104,-4.62,2.24,0.56
19125,0.196078,0.0908656,9.66523,2.03,-0.35,1.61
19131,0.0286944,0.23912,9.63654,2.52,-0.7,0.84
19137,1.10473,0.320421,9.51698,2.03,-2.73,-0.98
19143,0.0860832,0.650406,10.0765,1.82,-1.05,1.05
19149,-0.0669536,0.33955,9.71784,0.56,-1.61,0
19155,0.176949,0.439981,9.78001,-0.63,0.56,1.33
19161,0.167384,0.406504,9.57915,0.49,2.31,-0.28
19167,0.153037,0.473458,9.86131,3.99,2.45,1.61
19173,-0.0621712,0.282162,9.92348,3.64,4.34,2.73
19179,-0.181731,0.554758,10.043,3.5,4.27,3.15
19185,-0.148254,0.425634,9.87087,3.92,3.64,3.22
19191,0.0047824,0.5978,9.76566,4.97,3.57,3.71
19197,0.196078,0.387374,9.72262,4.97,1.68,3.99
19203,0.162602,0.669536,9.89,5.32,1.82,3.99
19209,-0.124342,0.444763,9.81827,5.81,1.26,5.11
19215,0.35868,0.444763,9.73697,4.83,-0.21,5.04
19221,0.200861,0.45911,9.79914,2.94,-0.07,4.69
19227,0.0382592,0.463893,9.54567,4.27,-0.7,3.64
19233,-0.0430416,0.602582,9.84218,6.02,-1.26,6.16
19239,0.133907,0.37781,9.8087,4.9,-1.61,4.62
19245,-0.047824,0.25825,9.71305,5.18,-2.52,5.39
19251,-0.0908656,0.325203,9.79436,3.99,-2.24,4.2
19257,0.253467,0.463893,9.85174,5.53,-0.63,3.85
19263,0.310856,0.588235,9.6748,5.81,-0.35,2.66
19269,0.167384,0.435198,9.83261,4.97,1.4,1.26
19275,0.133907,0.416069,9.78001,6.02,2.1,1.68
19281,0.105213,0.435198,9.64132,4.13,0,0.07
19287,0.105213,0.655189,9.74175,3.29,-0.84,1.33
19293,0.0286944,0.803443,9.99522,1.68,-0.63,0.28
19299,0.176949,0.549976,9.67958,1.4,1.19,2.24
19305,0.0669536,0.439981,9.7561,1.68,0.35,0.63
19311,-0.0047824,0.387374,9.81827,2.31,0.7,1.26
19317,0.0430416,0.49737,10.0191,4.34,3.36,2.45
19323,-0.157819,0.659971,9.60784,4.13,2.17,3.01
19329,0,0.664754,9.89957,3.92,2.94,3.43
19335,-0.0765184,1.05213,9.98565,2.52,5.95,2.1
19341,0.0765184,0.430416,9.59828,0,-2.17,3.08
19347,0.186514,0.602582,9.74175,0.21,-3.57,2.45
19353,0.023912,0.554758,9.63175,-0.98,-2.8,2.59
19359,0.10043,0.583453,9.66045,-1.12,-2.45,2.59
19365,0,0.334768,9.6461,-2.73,-1.75,1.19
19371,-0.10043,0.439981,9.66045,-1.26,-3.15,0.56
19377,-0.105213,0.114778,9.94261,-0.7,-3.57,0.07
19383,0.0908656,0.549976,9.95696,2.38,-0.42,0
19389,0.11956,0.813008,9.60306,3.15,-1.89,1.12
19395,0.0526064,0.487805,9.69871,0.7,-1.47,1.82
19401,-0.129125,0.636059,9.70349,-1.33,-1.05,-0.56
19407,0.0908656,0.511717,9.82305,-3.22,1.75,1.26
19413,-0.124342,0.583453,9.74653,-2.94,1.19,0.35
