Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
72405,0.00957031,0.425879,9.80479,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-20506,-14867,-11069,-9167,-28641
72411,-0.00478516,0.459375,9.7665,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-20506,-15379,-11581,-9167,-28641
72417,0.00478516,0.45459,9.77129,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-20250,-15891,-12093,-9167,-28641
72423,0.0143555,0.478516,9.7665,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-20506,-15635,-12861,-9167,-28641
72429,0.0143555,0.430664,9.74736,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-21530,-14611,-13629,-9167,-28641
72435,0.00478516,0.478516,9.75693,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-22298,-13843,-13117,-9167,-28641
72441,0.00957031,0.45459,9.81436,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-23066,-27411,-12605,-9167,-28641
72447,0.0143555,0.46416,9.79521,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-23578,-25363,-13117,-9167,-28641
72453,0.00957031,0.45459,9.76172,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-23834,27885,-13629,-9167,-28641
72459,0.0143555,0.468945,9.76172,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-23322,6637,-15421,-9167,-28641
72465,0.00478516,0.449805,9.77129,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-23066,-2580,-15421,-9167,-28641
72471,0.00478516,0.45459,9.74736,3.08167,-0.55481,4.87244,0,0,0,0.998779,0.0236206,0.000427246,0.042511,-22554,3309,-15933,-9167,-28641
