Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
14026,22,172,20,12,26,20,24,20,25,22,23,19,22,24,24,23,25,21,23,0,23,22,24,19,20,23,20,23,28,23,25,29,22,24,25,32,29,20,23,21,20,21,24,24,17,
14042,30,190,33,28,27,22,24,22,116,22,23,22,20,18,24,22,31,29,30,32,33,24,28,25,20,24,21,23,22,19,20,25,22,26,22,25,33,29,31,29,24,24,24,23,15,
14058,20,183,23,26,25,24,30,27,25,24,43,22,23,20,25,20,25,21,25,20,23,19,22,22,15,25,21,20,25,17,21,24,20,12,77,20,27,12,24,23,18,21,0,24,23,
14074,37,182,37,41,38,32,33,35,36,37,35,33,35,33,37,33,37,32,38,35,38,34,36,36,34,36,35,48,37,34,33,37,33,35,37,35,39,35,35,37,29,20,28,29,22,
14090,24,171,24,25,25,22,22,25,25,19,24,21,22,20,25,20,21,22,23,20,22,23,25,29,28,30,22,27,24,21,22,25,23,25,21,20,27,20,24,22,21,22,23,22,20,
14106,23,168,13,24,23,22,23,23,24,20,23,22,22,20,23,20,27,23,24,15,21,22,21,20,19,22,20,22,25,22,25,29,27,31,25,25,29,21,24,22,20,19,23,22,18,
14122,29,171,25,25,25,22,24,21,26,20,24,20,20,20,25,22,25,22,20,22,25,20,23,18,20,20,20,25,22,19,19,23,23,23,27,29,36,27,27,24,21,20,24,22,20,
14138,36,187,33,35,40,15,37,37,37,33,29,35,36,33,37,33,36,34,39,34,36,33,36,36,33,37,35,36,33,33,33,37,32,37,33,25,32,22,25,24,22,26,26,25,20,
14154,22,179,21,23,25,21,25,21,23,23,22,20,25,25,29,25,33,25,28,22,23,12,24,19,21,24,20,22,24,24,20,23,22,25,24,24,29,20,25,22,21,20,24,24,20,
14170,22,177,19,12,24,22,24,20,25,20,25,18,23,23,25,22,26,23,24,22,24,22,29,27,29,30,32,28,28,23,20,25,23,25,24,20,28,25,20,24,33,32,34,34,32,
